iso_code3,year,consumpinit_scoe_gj_per_hh_residential_elec_appliances,consumpinit_scoe_gj_per_hh_residential_heat_energy,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_other_se_heat_energy
TGO,2047,1.54256442532506,0.0811876013328978,358.6607778547098,18.876883044984726,0.0,0.0
TGO,2048,1.54256442532506,0.0811876013328978,358.6607778547098,18.876883044984726,0.0,0.0
TGO,2049,1.54256442532506,0.0811876013328978,358.6607778547098,18.876883044984726,0.0,0.0
TGO,2050,1.54256442532506,0.0811876013328978,358.6607778547098,18.876883044984726,0.0,0.0
THA,2010,79.59500692991816,4.189210891048325,2947.4965460538074,155.13139716072672,0.0,0.0
THA,2011,79.59500692991816,4.189210891048325,2947.4965460538074,155.13139716072672,0.0,0.0
THA,2012,82.70683334789801,4.352991228836737,2961.360851475909,155.86109744610047,0.0,0.0
THA,2013,85.81866224141763,4.5167716969167175,2974.830518146741,156.57002727088113,0.0,0.0
THA,2014,88.93048864134886,4.680552033755204,2987.6750054418058,157.24605291798977,0.0,0.0
THA,2015,92.04231707520684,4.844332477642466,2999.713713746723,157.87966914456436,0.0,0.0
THA,2016,94.08313076496852,4.951743724472028,3010.923986257076,158.46968348721455,0.0,0.0
THA,2017,96.1239466690122,5.059155087842749,3021.335813771774,159.01767440904078,0.0,0.0
THA,2018,98.1647567594034,5.166566145231758,3030.8803527829905,159.52001856752582,0.0,0.0
THA,2019,100.20557121798062,5.273977432525296,3039.485878570776,159.97294097740922,0.0,0.0
THA,2020,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2021,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2022,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2023,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2024,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2025,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2026,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2027,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2028,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2029,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2030,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2031,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2032,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2033,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2034,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2035,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2036,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2037,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2038,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2039,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2040,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2041,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2042,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2043,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2044,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2045,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2046,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2047,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2048,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2049,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
THA,2050,103.40762190454292,5.442506416028575,3050.254000354636,160.53968422919135,0.0,0.0
TJK,2010,4.047176239587608,0.2130092757677688,336.0325830056584,17.685925421350444,0.0,0.0
TJK,2011,4.047176239587608,0.2130092757677688,336.0325830056584,17.685925421350444,0.0,0.0
