iso_code3,year,frac_ippu_cement_clinker
AUT,2011,0.72
AUT,2012,0.72
AUT,2013,0.72
AUT,2014,0.72
AUT,2015,0.72
AUT,2016,0.72
AUT,2017,0.72
AUT,2018,0.72
AUT,2019,0.72
AUT,2020,0.72
AUT,2021,0.72
AUT,2022,0.72
AUT,2023,0.72
AUT,2024,0.72
AUT,2025,0.72
AUT,2026,0.72
AUT,2027,0.72
AUT,2028,0.72
AUT,2029,0.72
AUT,2030,0.72
AUT,2031,0.72
AUT,2032,0.72
AUT,2033,0.72
AUT,2034,0.72
AUT,2035,0.72
AUT,2036,0.72
AUT,2037,0.72
AUT,2038,0.72
AUT,2039,0.72
AUT,2040,0.72
AUT,2041,0.72
AUT,2042,0.72
AUT,2043,0.72
AUT,2044,0.72
AUT,2045,0.72
AUT,2046,0.72
AUT,2047,0.72
AUT,2048,0.72
AUT,2049,0.72
AUT,2050,0.72
AZE,2010,0.72
AZE,2011,0.72
AZE,2012,0.72
AZE,2013,0.72
AZE,2014,0.72
AZE,2015,0.72
AZE,2016,0.72
AZE,2017,0.72
AZE,2018,0.72
AZE,2019,0.72
AZE,2020,0.72
AZE,2021,0.72
AZE,2022,0.72
AZE,2023,0.72
AZE,2024,0.72
AZE,2025,0.72
AZE,2026,0.72
AZE,2027,0.72
AZE,2028,0.72
AZE,2029,0.72
AZE,2030,0.72
AZE,2031,0.72
AZE,2032,0.72
AZE,2033,0.72
AZE,2034,0.72
AZE,2035,0.72
AZE,2036,0.72
AZE,2037,0.72
AZE,2038,0.72
AZE,2039,0.72
AZE,2040,0.72
AZE,2041,0.72
AZE,2042,0.72
AZE,2043,0.72
AZE,2044,0.72
AZE,2045,0.72
AZE,2046,0.72
AZE,2047,0.72
AZE,2048,0.72
AZE,2049,0.72
AZE,2050,0.72
BDI,2010,0.72
BDI,2011,0.72
BDI,2012,0.72
BDI,2013,0.72
BDI,2014,0.72
BDI,2015,0.72
BDI,2016,0.72
BDI,2017,0.72
BDI,2018,0.72
BDI,2019,0.72
BDI,2020,0.72
BDI,2021,0.72
BDI,2022,0.72
BDI,2023,0.72
BDI,2024,0.72
BDI,2025,0.72
BDI,2026,0.72
BDI,2027,0.72
BDI,2028,0.72
BDI,2029,0.72
BDI,2030,0.72
BDI,2031,0.72
BDI,2032,0.72
BDI,2033,0.72
BDI,2034,0.72
BDI,2035,0.72
BDI,2036,0.72
BDI,2037,0.72
BDI,2038,0.72
BDI,2039,0.72
BDI,2040,0.72
BDI,2041,0.72
BDI,2042,0.72
BDI,2043,0.72
BDI,2044,0.72
BDI,2045,0.72
BDI,2046,0.72
BDI,2047,0.72
BDI,2048,0.72
BDI,2049,0.72
BDI,2050,0.72
BEL,2010,0.72
BEL,2011,0.72
BEL,2012,0.72
BEL,2013,0.72
BEL,2014,0.72
BEL,2015,0.72
BEL,2016,0.72
BEL,2017,0.72
BEL,2018,0.72
BEL,2019,0.72
BEL,2020,0.72
BEL,2021,0.72
BEL,2022,0.72
BEL,2023,0.72
BEL,2024,0.72
BEL,2025,0.72
BEL,2026,0.72
BEL,2027,0.72
BEL,2028,0.72
BEL,2029,0.72
BEL,2030,0.72
BEL,2031,0.72
BEL,2032,0.72
BEL,2033,0.72
BEL,2034,0.72
BEL,2035,0.72
BEL,2036,0.72
BEL,2037,0.72
BEL,2038,0.72
BEL,2039,0.72
BEL,2040,0.72
BEL,2041,0.72
BEL,2042,0.72
BEL,2043,0.72
BEL,2044,0.72
BEL,2045,0.72
BEL,2046,0.72
BEL,2047,0.72
BEL,2048,0.72
BEL,2049,0.72
BEL,2050,0.72
BEN,2010,0.72
BEN,2011,0.72
BEN,2012,0.72
BEN,2013,0.72
BEN,2014,0.72
BEN,2015,0.72
BEN,2016,0.72
BEN,2017,0.72
BEN,2018,0.72
BEN,2019,0.72
BEN,2020,0.72
BEN,2021,0.72
BEN,2022,0.72
BEN,2023,0.72
BEN,2024,0.72
BEN,2025,0.72
BEN,2026,0.72
BEN,2027,0.72
BEN,2028,0.72
BEN,2029,0.72
BEN,2030,0.72
BEN,2031,0.72
BEN,2032,0.72
BEN,2033,0.72
BEN,2034,0.72
BEN,2035,0.72
BEN,2036,0.72
BEN,2037,0.72
