r,f,l,val
algeria,fuel_electricity,sep_nov_wd6,0.0431874310425393
algeria,fuel_electricity,sep_nov_we0,0.016583135353566
algeria,fuel_electricity,sep_nov_we12,0.0180893400724503
algeria,fuel_electricity,sep_nov_we18,0.0172505090649768
algeria,fuel_electricity,sep_nov_we6,0.0164689049067534
american_samoa,fuel_electricity,dec_feb_wd0,0.0457887732199526
american_samoa,fuel_electricity,dec_feb_wd12,0.0499476529990401
american_samoa,fuel_electricity,dec_feb_wd18,0.0476315021655483
american_samoa,fuel_electricity,dec_feb_wd6,0.0454733641062718
american_samoa,fuel_electricity,dec_feb_we0,0.0174608892854387
american_samoa,fuel_electricity,dec_feb_we12,0.0190468181991762
american_samoa,fuel_electricity,dec_feb_we18,0.0181635874325928
american_samoa,fuel_electricity,dec_feb_we6,0.0173406125619907
american_samoa,fuel_electricity,jun_aug_wd0,0.0458983230309471
american_samoa,fuel_electricity,jun_aug_wd12,0.0500671529454434
american_samoa,fuel_electricity,jun_aug_wd18,0.0477454607124294
american_samoa,fuel_electricity,jun_aug_wd6,0.0455821592997834
american_samoa,fuel_electricity,jun_aug_we0,0.0175026645282875
american_samoa,fuel_electricity,jun_aug_we12,0.0190923877828762
american_samoa,fuel_electricity,jun_aug_we18,0.0182070438833839
american_samoa,fuel_electricity,jun_aug_we6,0.0173821000423293
american_samoa,fuel_electricity,mar_may_wd0,0.0415038840147342
american_samoa,fuel_electricity,mar_may_wd12,0.0452735780214575
american_samoa,fuel_electricity,mar_may_wd18,0.0431741713592152
american_samoa,fuel_electricity,mar_may_wd6,0.0412179907192639
american_samoa,fuel_electricity,mar_may_we0,0.0158269084916469
american_samoa,fuel_electricity,mar_may_we12,0.0172644270155696
american_samoa,fuel_electricity,mar_may_we18,0.016463848517464
american_samoa,fuel_electricity,mar_may_we6,0.0157178872004304
american_samoa,fuel_electricity,sep_nov_wd0,0.0423436623042737
american_samoa,fuel_electricity,sep_nov_wd12,0.0461896312732133
american_samoa,fuel_electricity,sep_nov_wd18,0.0440477457881398
american_samoa,fuel_electricity,sep_nov_wd6,0.0420519843216985
american_samoa,fuel_electricity,sep_nov_we0,0.0161471458491216
american_samoa,fuel_electricity,sep_nov_we12,0.0176137507314866
american_samoa,fuel_electricity,sep_nov_we18,0.0167969735460114
american_samoa,fuel_electricity,sep_nov_we6,0.0160359186507801
andorra,fuel_electricity,dec_feb_wd0,0.0457887732199526
andorra,fuel_electricity,dec_feb_wd12,0.0499476529990401
andorra,fuel_electricity,dec_feb_wd18,0.0476315021655483
andorra,fuel_electricity,dec_feb_wd6,0.0454733641062718
andorra,fuel_electricity,dec_feb_we0,0.0174608892854387
andorra,fuel_electricity,dec_feb_we12,0.0190468181991762
andorra,fuel_electricity,dec_feb_we18,0.0181635874325928
andorra,fuel_electricity,dec_feb_we6,0.0173406125619907
andorra,fuel_electricity,jun_aug_wd0,0.0458983230309471
andorra,fuel_electricity,jun_aug_wd12,0.0500671529454434
andorra,fuel_electricity,jun_aug_wd18,0.0477454607124294
andorra,fuel_electricity,jun_aug_wd6,0.0455821592997834
andorra,fuel_electricity,jun_aug_we0,0.0175026645282875
andorra,fuel_electricity,jun_aug_we12,0.0190923877828762
andorra,fuel_electricity,jun_aug_we18,0.0182070438833839
andorra,fuel_electricity,jun_aug_we6,0.0173821000423293
andorra,fuel_electricity,mar_may_wd0,0.0415038840147342
andorra,fuel_electricity,mar_may_wd12,0.0452735780214575
andorra,fuel_electricity,mar_may_wd18,0.0431741713592152
andorra,fuel_electricity,mar_may_wd6,0.0412179907192639
andorra,fuel_electricity,mar_may_we0,0.0158269084916469
andorra,fuel_electricity,mar_may_we12,0.0172644270155696
andorra,fuel_electricity,mar_may_we18,0.016463848517464
andorra,fuel_electricity,mar_may_we6,0.0157178872004304
andorra,fuel_electricity,sep_nov_wd0,0.0423436623042737
andorra,fuel_electricity,sep_nov_wd12,0.0461896312732133
