year,iso_code3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp
2031,BHS,0.5380051395180083,0.050000000000000044,1.6333333333333333,1.3668583745300236,1.6333333333333333,1.6333333333333333,0.050000000000000044,0.16673959355334805,0.050000000000000044,1.5335872344591994,0.050000000000000044
2032,BHS,0.5623206584907448,0.10000000000000009,1.6,1.3475500390284434,1.6,1.6,0.10000000000000009,0.2105954044189613,0.10000000000000009,1.5055036958034522,0.10000000000000009
2033,BHS,0.5866361774634812,0.15000000000000002,1.5666666666666667,1.3282417035268632,1.5666666666666667,1.5666666666666667,0.15000000000000002,0.2544512152845746,0.15000000000000002,1.4774201571477048,0.15000000000000002
2034,BHS,0.6109516964362176,0.20000000000000007,1.5333333333333332,1.3089333680252828,1.5333333333333332,1.5333333333333332,0.20000000000000007,0.2983070261501879,0.20000000000000007,1.4493366184919574,0.20000000000000007
2035,BHS,0.635267215408954,0.25,1.5,1.2896250325237029,1.5,1.5,0.25,0.3421628370158011,0.25,1.4212530798362102,0.25
2036,BHS,0.6595827343816903,0.30000000000000004,1.4666666666666668,1.2703166970221225,1.4666666666666668,1.4666666666666668,0.30000000000000004,0.3860186478814144,0.30000000000000004,1.3931695411804628,0.30000000000000004
2037,BHS,0.6838982533544267,0.3500000000000001,1.4333333333333333,1.2510083615205425,1.4333333333333333,1.4333333333333333,0.3500000000000001,0.4298744587470277,0.3500000000000001,1.3650860025247153,0.3500000000000001
2038,BHS,0.7082137723271631,0.4,1.4,1.2317000260189621,1.4,1.4,0.4,0.47373026961264086,0.4,1.3370024638689681,0.4
2039,BHS,0.7325292912998995,0.45000000000000007,1.3666666666666667,1.2123916905173822,1.3666666666666667,1.3666666666666667,0.45000000000000007,0.5175860804782542,0.45000000000000007,1.3089189252132207,0.45000000000000007
2040,BHS,0.756844810272636,0.5,1.3333333333333335,1.1930833550158018,1.3333333333333335,1.3333333333333335,0.5,0.5614418913438675,0.5,1.2808353865574733,0.5
2041,BHS,0.7811603292453724,0.55,1.3,1.1737750195142216,1.3,1.3,0.55,0.6052977022094806,0.55,1.2527518479017261,0.55
2042,BHS,0.8054758482181088,0.6000000000000001,1.2666666666666666,1.1544666840126414,1.2666666666666666,1.2666666666666666,0.6000000000000001,0.649153513075094,0.6000000000000001,1.2246683092459787,0.6000000000000001
2043,BHS,0.8297913671908452,0.6500000000000001,1.2333333333333334,1.1351583485110612,1.2333333333333334,1.2333333333333334,0.6500000000000001,0.6930093239407071,0.6500000000000001,1.1965847705902313,0.6500000000000001
2044,BHS,0.8541068861635814,0.7000000000000002,1.2,1.115850013009481,1.2,1.2,0.7000000000000002,0.7368651348063204,0.7000000000000002,1.168501231934484,0.7000000000000002
2045,BHS,0.8784224051363179,0.75,1.1666666666666665,1.0965416775079009,1.1666666666666665,1.1666666666666665,0.75,0.7807209456719337,0.75,1.1404176932787367,0.75
2046,BHS,0.9027379241090543,0.8,1.1333333333333333,1.0772333420063207,1.1333333333333333,1.1333333333333333,0.8,0.824576756537547,0.8,1.1123341546229892,0.8
2047,BHS,0.9270534430817907,0.8500000000000001,1.1,1.0579250065047405,1.1,1.1,0.8500000000000001,0.8684325674031603,0.8500000000000001,1.084250615967242,0.8500000000000001
2048,BHS,0.9513689620545271,0.9000000000000001,1.0666666666666667,1.0386166710031604,1.0666666666666667,1.0666666666666667,0.9000000000000001,0.9122883782687736,0.9000000000000001,1.0561670773114946,0.9000000000000001
2049,BHS,0.9756844810272636,0.9500000000000002,1.0333333333333332,1.0193083355015802,1.0333333333333332,1.0333333333333332,0.9500000000000002,0.9561441891343867,0.9500000000000002,1.0280835386557472,0.9500000000000002
2050,BHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,BIH,3.3793662021842015,2.043522541179696,1.4353314073516392,0.0959253889551997,44.30652854181889,2.211662023720539,3.5184225264969142,2.532834317768209,0.8642666197568659,0.6408658772666673,0.6689839967676959
2011,BIH,-6.628452081164427,-3.5488996247801325,-1.4148616937651128,-2.361613138886552,-24.244195311526457,-1.3163743200923101,4.285352052374753,-1.696264649388458,2.737672795466729,1.189195019709252,-0.9251791420942629
2012,BIH,-3.599507268013395,1.7548178462841044,3.999762436872217,12.777262009126824,-8.793349357754257,2.29424703277256,-9.589006286683903,1.7795506136553505,3.4590744002266556,2.126305385343066,3.3210574265972563
2013,BIH,7.501388059437152,3.4422276431675685,4.120337796544066,-0.8810136958723732,16.697816065330898,-2.1856562246966273,3.925887046434802,-1.328686749803717,1.7799646054002751,0.6650078821645158,4.224876153653774
2014,BIH,-7.691842028181757,1.4150109097017576,-3.994699375692032,-2.5672843250869875,-16.46981541384178,-3.891920785487687,-7.082374051966621,-1.0523940048850586,0.7030025702023014,1.327637525748079,-3.849211430443087
2015,BIH,2.0922723871444937,1.709132268355659,2.205861952426451,6.30795986443946,6.6412591375625105,2.4607754208407915,2.1159051343875186,-2.0155531818779164,4.308459595824686,0.35859101343958333,3.40242891065062
2016,BIH,-0.150597875248279,4.574888396522166,4.208959819884128,-1.9589400571362612,-10.482550382276832,3.528297314862511,3.9990614604242687,-0.9227157722284113,0.7576561739846077,-2.0272408992748066,-0.5988431585533771
2017,BIH,2.5416282283221148,-5.135068694631252,6.648741104499082,10.43089244282307,-5.077496983510346,3.849545218304835,-0.8925681627589996,3.820379480707771,5.622310802873629,1.6048985481771856,3.0596076056260846
2018,BIH,18.828688637740754,-4.931531221135033,6.374781088181532,0.3647236825054936,6.7877739194080045,0.10466861546577272,-0.1430752326858856,-5.435859984833303,4.217721141620508,-3.8933717542504604,-0.5713572131124173
2019,BIH,-13.931190097644839,9.129476314018133,-5.740706045794425,-2.421605893625223,60.488479199551136,-2.340158964045484,-5.972221919676915,0.9381710025871784,-5.342634851449426,6.394009392077291,3.2661866042751604
2020,BIH,2.0,1.709132268355659,2.0,0.0959253889551997,-0.5,2.0,2.0,-0.5,2.0,0.6650078821645158,0.6689839967676959
2021,BIH,1.9666666666666666,1.685494526077137,1.9666666666666666,0.1260612093233597,-0.45,1.9666666666666666,1.9666666666666666,-0.45,1.9666666666666666,0.6761742860923653,0.680017863542106
2022,BIH,1.9333333333333333,1.661856783798615,1.9333333333333333,0.15619702969151972,-0.4,1.9333333333333333,1.9333333333333333,-0.4,1.9333333333333333,0.6873406900202147,0.6910517303165162
