Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Abbreviation Subsector,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Output,Energy Demand by Fuel in Energy Technology," | Calculated in **Energy Technology** subsector. Total energy demand, by fuel, from energy production, including: 
 | 
* Electricity Generation
* Fuel Production and Processing (including hydrogen production, natural gas processing, and petroleum refinement)
* Mining and extraction
",``energy_demand_enfu_subsector_total_$UNIT-ENERGY$_entc_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biofuels``|``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_geothermal``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_hydropower``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_ocean``|``fuel_oil``|``fuel_other``|``fuel_solar``|``fuel_waste``|``fuel_wind``,,,,``entc``,1,1,1,0
Output,Energy Demand by Fuel in Industrial Energy,"Calculated in **Industrial Energy** subsector. Total energy demand, by fuel, in industrial energy.",``energy_demand_enfu_subsector_total_$UNIT-ENERGY$_inen_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biofuels``|``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_geothermal``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_hydropower``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_ocean``|``fuel_oil``|``fuel_other``|``fuel_solar``|``fuel_waste``|``fuel_wind``,,,,``inen``,1,1,1,0
Output,Energy Demand by Fuel in SCOE,"Calculated in **Stationary Combustion and Other Emissions** subsector. Total energy demand, by fuel, in industrial energy.",``energy_demand_enfu_subsector_total_$UNIT-ENERGY$_scoe_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biofuels``|``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_geothermal``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_hydropower``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_ocean``|``fuel_oil``|``fuel_other``|``fuel_solar``|``fuel_waste``|``fuel_wind``,,,,``scoe``,1,1,1,0
Output,Energy Demand by Fuel in Transportation,"Calculated in **Transportation** subsector. Total energy demand, by fuel, in transportation.",``energy_demand_enfu_subsector_total_$UNIT-ENERGY$_trns_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biofuels``|``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_geothermal``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_hydropower``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_ocean``|``fuel_oil``|``fuel_other``|``fuel_solar``|``fuel_waste``|``fuel_wind``,,,,``trns``,1,1,1,0
Output,Fuel Imports,,``imports_enfu_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,none,1,1,1,0
Output,Fuel Production,,``prod_enfu_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,none,1,1,1,0
Output,Total Energy Demand by Fuel,Total demand for fuels across all energy subsectors. ,``energy_demand_enfu_total_$CAT-FUEL$``,,``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_geothermal``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_hydropower``|``fuel_kerosene``|``fuel_biofuels``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_ocean``|``fuel_oil``|``fuel_other``|``fuel_solar``|``fuel_waste``|``fuel_wind``,,,,none,1,1,1,0
Output,Unused Fuel Exported,,``exports_enfu_unused_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biogas``|``fuel_waste``,,,,none,1,1,1,0
Output,Value of Fuel Consumed in CCSQ, | Total value of fuel consumed in **configuration units (monetary)** by fuel type in **Carbon Capture and Sequestration** subsector.,``totalvalue_enfu_fuel_consumed_ccsq_$CAT-FUEL$``,,``fuel_electricity``|``fuel_hydrogen``|``fuel_natural_gas``,,,,``ccsq``,1,1,1,0
Output,Value of Fuel Consumed in Energy Technology," | Total value of fuel consumed in **configuration units (monetary)** by fuel type in **Carbon Capture and Sequestration** subsector, including:
 | 
* Electricity Generation
* Fuel Production and Processing (including hydrogen production, natural gas processing, and petroleum refinement)
* Mining and extraction
 | 
 | **Excludes** value of fuel produced
",``totalvalue_enfu_fuel_consumed_entc_$CAT-FUEL$``,,``fuel_biogas``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_biofuels``|``fuel_natural_gas``|``fuel_nuclear``|``fuel_oil``|``fuel_other``|``fuel_waste``,,,,``entc``,1,1,1,0
Output,Value of Fuel Consumed in Industrial Energy, | Total value of fuel consumed in **configuration units (monetary)** by fuel type in **Industrial Energy** subsector.,``totalvalue_enfu_fuel_consumed_inen_$CAT-FUEL$``,,``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,``inen``,1,1,1,0
Output,Value of Fuel Consumed in SCOE, | Total value of fuel consumed in **configuration units (monetary)** by fuel type in **Stationary Combustion and Other Emissions** subsector.,``totalvalue_enfu_fuel_consumed_scoe_$CAT-FUEL$``,,``fuel_biomass``|``fuel_coal``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``,,,,``scoe``,1,1,1,0
Output,Value of Fuel Consumed in Transportation, | Total value of fuel consumed in **configuration units (monetary)** by fuel type in **Transportation** subsector.,``totalvalue_enfu_fuel_consumed_trns_$CAT-FUEL$``,,``fuel_biofuels``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``,,,,``trns``,1,1,1,0
