Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Energy Efficiency Variable by Fuel,Fuel Fraction Variable by Fuel,``$CAT-FUEL$``,Notes
Input,SCOE Initial Per GDP Electric Appliances Energy Consumption,,``consumpinit_scoe_$UNIT-ENERGY$_per_mmmgdp_$CAT-SCOE$_elec_appliances`` (``$UNIT-ENERGY$ = tj``),``commercial_municipal``|``other_se``,,0,1,1,,0,0,0,none,
Input,SCOE Initial Per GDP Heat Energy Consumption," | SCOE energy demands that are specified exogenously (no elasticity) for each time period. 
 | 
 | **NOTE:** Demands by fuel type are specified under the *SCOE Fraction Heat Energy Demand $CAT-FUEL$* variables for this variable. Elecitrification can be specified as fraction of heat energy from electricity. ",``consumpinit_scoe_$UNIT-ENERGY$_per_mmmgdp_$CAT-SCOE$_heat_energy`` (``$UNIT-ENERGY$ = tj``),``commercial_municipal``|``other_se``,,0,1,1,,0,0,0,none,
Input,SCOE Initial Per Household Electric Appliances Energy Consumption,,``consumpinit_scoe_$UNIT-ENERGY$_per_hh_$CAT-SCOE$_elec_appliances`` (``$UNIT-ENERGY$ = gj``),``residential``,,0,1,1,,0,0,0,none,
Input,SCOE Initial Per Household Heat Energy Consumption,,``consumpinit_scoe_$UNIT-ENERGY$_per_hh_$CAT-SCOE$_heat_energy`` (``$UNIT-ENERGY$ = gj``),``residential``,,0,1,1,,0,0,0,none,
Output,:math:`\text{CH}_4` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,0,0,none,
Output,:math:`\text{CO}_2` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,0,0,none,
Output,:math:`\text{N}_2\text{O}` Emissions from SCOE,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = n2o``),all,,0,1,1,,1,0,0,none,
Output,Electrical Energy Consumption from SCOE,,``energy_consumption_electricity_scoe_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,
Output,Energy Consumption from SCOE,,``energy_consumption_scoe_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,
Output,Heat Energy Demand in SCOE,,``energy_demand_scoe_heat_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,
Output,Total Electrical Energy Consumption from SCOE,,``energy_consumption_electricity_scoe_total``,none,,0,1,1,,0,0,0,none,
Output,Total Energy Consumption from SCOE,,``energy_consumption_scoe_total``,none,,0,1,1,,0,0,0,none,
