Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-FUEL$``,Fuel Fraction Variable by Fuel,Emissions Total by Gas Component
Input,Industrial Energy Demand Scalar,Scalar used to modify energy demands--used to represent efficiency improvements in energy demands in different industries.,``scalar_inen_energy_demand_$CAT-INDUSTRY$``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,none,0,0
Input,Industrial Energy Fuel Fraction Coal,Fraction of point-of-use demand from coal.,``frac_inen_energy_$CAT-INDUSTRY$_coal``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_coal``,1,0
Input,Industrial Energy Fuel Fraction Coke,Fraction of point-of-use demand from coke.,``frac_inen_energy_$CAT-INDUSTRY$_coke``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_coke``,1,0
Input,Industrial Energy Fuel Fraction Diesel,Fraction of point-of-use demand from diesel.,``frac_inen_energy_$CAT-INDUSTRY$_diesel``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_diesel``,1,0
Input,Industrial Energy Fuel Fraction Electricity,Fraction of point-of-use demand from electricity.,``frac_inen_energy_$CAT-INDUSTRY$_electricity``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_electricity``,1,0
Input,Industrial Energy Fuel Fraction Furnace Gas,Fraction of point-of-use demand from furnace gas.,``frac_inen_energy_$CAT-INDUSTRY$_furnace_gas``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_furnace_gas``,1,0
Input,Industrial Energy Fuel Fraction Gasoline,Fraction of point-of-use demand from gasoline.,``frac_inen_energy_$CAT-INDUSTRY$_gasoline``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_gasoline``,1,0
Input,Industrial Energy Fuel Fraction Geothermal," | Fraction of point-of-use demand from geothermal energy. Included for mining only.
 | 
 | See `BBC Future Planet <https://www.bbc.com/future/article/20201124-how-geothermal-lithium-could-revolutionise-green-energy>`_ for some discussion of lithium mining using geothermal ",``frac_inen_energy_$CAT-INDUSTRY$_geothermal``,,``mining``,,,,0,1,1,``fuel_geothermal``,1,0
Input,Industrial Energy Fuel Fraction Hydrocarbon Gas Liquids,"Fraction of point-of-use demand from hydrocarbon gas liquids, including propane, butane, and ethane. ",``frac_inen_energy_$CAT-INDUSTRY$_hydrocarbon_gas_liquids``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_hydrocarbon_gas_liquids``,1,0
Input,Industrial Energy Fuel Fraction Hydrogen,Fraction of point-of-use demand from hydrogen.,``frac_inen_energy_$CAT-INDUSTRY$_hydrogen``,,``agriculture_and_livestock``|``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,``fuel_hydrogen``,1,0
