Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Input,Fraction of Non-Recycled Solid Waste Open Dumps,Proportion of non-recycled municipal waste that is ends up in open dumpsites,``frac_waso_non_recycled_open_dump``,,none,,,,0,1,1,0,1
Input,Fraction of Waste Composted,"Fraction of waste in category ``CAT-WASTE-SOLID`` composted. This value should be :math:`\in [0, 1]`.",``frac_waso_compost_$CAT-WASTE-SOLID$``,,``food``|``sludge``|``yard``,,,,0,1,1,0,
Input,Fraction of Waste Recycled,"Fraction of waste in category ``CAT-WASTE-SOLID`` that is recycled. This value should be :math:`\in [0, 1]`.",``frac_waso_recycled_$CAT-WASTE-SOLID$``,,``glass``|``metal``|``paper``|``plastic``|``rubber_leather``|``textiles``|``wood``,,,,0,1,1,0,
Input,Fraction of Waste Treated Anaerobically,"Fraction of waste in category ``CAT-WASTE-SOLID`` treated anaerobically. This value should be :math:`\in [0, 1]`.",``frac_waso_biogas_$CAT-WASTE-SOLID$``,,``food``|``sludge``|``yard``,,,,0,1,1,0,
Input,Historical Back Projection Growth Rate in Solid Waste Generation,Primary a calibration parameter if using the back-projection method for solid waste. The growth rate at time :math:`t = 0` is applied backwards to estimate waste landfilled in previous years. The back projection method should only be used in the absence of historical data.,``historical_back_projection_growth_rate``,,none,,,,0,1,1,0,
Input,Initial Per Capita Municipal Solid Waste Generated,"Represents the estimated quantity, in kg/person, of solid waste generated per person at time :math:`t = 0`. The total waste generated per person is then estimated for each waste composition category using the elasticity of waste production to income (GDP/Capita).",``qty_waso_initial_municipal_waste_$UNIT-MASS$_per_capita`` (``$UNIT-MASS$ = tonne``),,none,"Country level data are available from the  `World Bank Waste Database <https://datacatalog.worldbank.org/search/dataset/0039597>`_. Additional regional defaults are available in V5, C2, Table 2.1 of IPCC GNGHGI  for default rates by region. ",,,0,1,1,0,
Input,Per GDP Industrial Solid Waste Generated,Industrial waste generated per GDP,``qty_waso_industrial_waste_$UNIT-MASS$_per_mmm_gdp`` (``$UNIT-MASS$ = kt``),,none,,,,0,1,1,0,
Output,:math:`\text{CH}_4` Emissions from Anaerobic Biogas,"Emissions from anaerobic decomposition organic waste in biogas plants. This waste stream flow is used to generate energy. Note that methane leakage from these plants is assumed to be 5% with a range of 0 - 10 % (see 2006 IPCC GHG guidance Volume 5, Chapter 4, page 4.4)",``emission_co2e_$EMISSION-GAS$_waso_biogas_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),,``food``|``sludge``|``yard``,,,,1,1,1,1,
Output,:math:`\text{CH}_4` Emissions from Composting,,``emission_co2e_$EMISSION-GAS$_waso_compost_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),,``food``|``sludge``|``yard``,,,,1,1,1,1,
Output,:math:`\text{CH}_4` Emissions from Incineration,Total :math:`\text{CH}_4` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = ch4``),,none,,,,1,1,1,1,
Output,:math:`\text{CO}_2` Emissions from Incineration,Total :math:`\text{CO}_2` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = co2``),,none,,,,1,1,1,1,
Output,:math:`\text{N}_2\text{O}` Emissions from Composting,,``emission_co2e_$EMISSION-GAS$_waso_compost_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``),,``food``|``sludge``|``yard``,,,,1,1,1,1,
Output,:math:`\text{N}_2\text{O}` Emissions from Incineration,Total :math:`\text{N}_2\text{O}` emissions from incineration (combined MSW and ISW),``emission_co2e_$EMISSION-GAS$_waso_incineration`` (``$EMISSION-GAS$ = n2o``),,none,,,,1,1,1,1,
Output,Biogas Recovered from Anaerobic Facilities,"Biogas is a mixture of methane, carbon dioxide, water vapor, hydrogen suflide, and other gases. See `The EPA <https://www.epa.gov/agstar/how-does-anaerobic-digestion-work>`_ for an overview of anaerobic digestion and biogas.",``gasrecovered_waso_biogas_anaerobic_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,,,,1,1,1,0,
Output,Biogas Recovered from Landfills,Mass of methane recovered from landfill gas that is colleted.,``gasrecovered_waso_biogas_landfills_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,,,,1,1,1,0,
Output,Total ISW Recovered for Energy,Total quantity of industrial solid waste that is recovered for energy use.,``qty_waso_isw_recovered_for_energy_incineration_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,,,,,,,0,
Output,Total MSW Recovered for Energy,Total quantity of municipal solid waste that is recovered for energy use.,``qty_waso_msw_recovered_for_energy_incineration_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,,,,,,,0,
Output,Total Waste Anaerobic Biogas,Total quantity of waste sent to anaerobic biogas facilities.,``qty_waso_biogas_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``food``|``sludge``|``yard``,,,,1,1,1,0,
Output,Total Waste Composted,Total quantity of waste composted in tonnes.,``qty_waso_compost_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``food``|``sludge``|``yard``,,,,1,1,1,0,
Output,Total Waste Recycled,Total quantity of waste recycled in tonnes.,``qty_waso_recycled_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``glass``|``metal``|``paper``|``plastic``|``rubber_leather``|``textiles``|``wood``,,,,1,1,1,0,
