croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,country,optimization_bound
0.9844117069991454,0.0,0.0,9.587053317043224e-05,0.0001833333333333528,0.015309089134350896,0.0,0.0,0.002222222222222175,0.997777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0025343775387795223,0.0,0.9911307713074619,0.0,0.0015,0.004668932991868687,1.6393140143055432e-05,0.0001495250217468237,0.0010999999999999769,0.0,0.0,0.997777777777778,0.0,0.0011222222222221985,0.0,0.0,0.006317787653885659,0.0,0.0,3.973194064666476e-05,0.9828827603935539,0.010667664132308019,1.945312942844613e-05,7.26027501773627e-05,0.0015745782261638924,0.0,0.0,0.00011023497027309494,0.000424498909187476,0.9970992270312201,0.00011118707548107068,0.0006802737876744906,0.0013643834673670516,0.0,0.0,0.00013888888888888593,0.0,0.0009833333333333126,0.997513394310411,0.0,0.004356786184438855,0.0,0.0,0.00013888888888888593,0.0,0.0009833333333333129,0.0,0.9945209915933391,argentina,max_diagonal
0.9944764957264951,0.0012532653239608754,0.0,0.0,0.0,0.00041666666666666664,0.0003543108390868233,0.003499261443790588,0.00020917841956853185,0.9933537907905738,0.0,0.0,3.41040943038624e-06,0.0008075873572288779,0.00017304048860163144,0.005452992534596878,9.24114506647437e-22,0.0,1.0,0.0,0.0,0.0,0.0,2.977959442024086e-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1564823173178713e-18,0.0,0.0,0.0,0.9998426735998254,0.00014451502448473315,0.0,1.2811375689969985e-05,0.0013495703285294049,0.0005146105001823169,0.0,0.0,4.0457522159157815e-07,0.9806855584193508,0.0001522445549681287,0.01729761162174767,0.0,0.0,0.0,0.0,0.0,0.00041666666666666664,0.9985447223704741,0.001038610962859245,0.00017036824834280106,0.0007948387620407535,0.0,0.0,1.3411259151407043e-20,0.002008732082350996,0.00022088842741702482,0.9968051724798485,bahamas,max_diagonal
0.9632429202741701,0.0,0.0,0.0,2.7905379802421734e-19,0.005796274725425788,0.03065439643144806,0.00030640856895592657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.580863492655068e-19,2.9017894927931303e-35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.421010862427676e-20,0.0,0.0,0.0,1.0,1.326412720540978e-18,0.0,0.0,2.964071927631509e-17,0.0,0.0,0.0,6.642024978773134e-20,0.9948912060010776,0.004545193086614199,0.0005636009123081227,6.8787541678980274e-18,2.2028383484298442e-20,0.0,0.0,1.0842021724855044e-19,1.9259196486713682e-18,0.9999478757717306,5.2124228269388124e-05,9.558261674460116e-16,0.0,0.0,0.0,2.1894682167314798e-17,0.013977322411668963,0.024330388535036804,0.9616922890532932,barbados,max_diagonal
0.9968194282733712,0.002205882352941248,0.0,9.775698158051127e-06,7.427213309565925e-05,0.000743582718904647,5.102127870520021e-20,0.00014705882352940858,0.0008091420774631949,0.9966021439290368,0.0,0.0,0.00020946787422834566,0.0021180285127812932,0.00018964181874071926,7.157578774991225e-05,0.0008190699651597988,0.0,0.9936132134855957,0.0,3.133901839480063e-05,0.004632984037963815,0.000258238577538751,0.0006451549153471007,0.0022058823529411296,0.0,0.0,0.9975000000000004,0.00014705882352940863,0.00014705882352940863,0.0,0.0,0.0010294117647058603,0.0012959048932222985,0.0,2.7624518542379617e-05,0.9975000000000004,0.00014705882352940874,0.0,0.0,0.00020298215799201323,0.00664982651227748,0.0,3.1002110358299734e-05,5.649823584653905e-05,0.9918025325867613,0.00026262358914478474,0.0009945348076197602,0.00102941176470586,0.0010817586987457385,0.0,0.0002417707130189393,0.0,0.00014705882352940863,0.9975000000000004,0.0,0.0005787109389964744,0.003111188524555623,0.0,0.0,0.0,0.0007740691791061445,0.0,0.9955360313573419,belize,max_diagonal
0.9928032684681265,0.0,0.0,0.0001737974150812903,0.0015167167913912056,0.005432018355175644,6.438206484055952e-06,6.776076374118508e-05,0.002361111111111061,0.9976388888888891,0.0,0.0,0.0,0.0,0.0,0.0,0.0010136387518757783,0.0,0.9958856952929769,0.0,0.0018579076567346458,0.0010725547791451864,1.7026697188701413e-05,0.0001531768220786139,0.001772222222222185,0.0,2.7777777777777786e-05,0.9976388888888891,0.000555555555555536,5.555555555555557e-06,0.0,0.0,0.0010135087416065526,0.0,0.0,8.056475328332691e-06,0.9948982016155481,0.003977864349209219,1.3438959832624658e-05,8.892985847518722e-05,0.001443119529609654,0.0,0.0,1.2604168922254712e-05,0.001072380685958343,0.9972231449560768,2.3088747975484796e-05,0.0002256619114576758,0.0017999999999999614,0.0,0.0,0.0004166666666666582,0.00013888888888888593,5.555555555555556e-06,0.9976388888888891,0.0,0.00242822019888647,0.0,0.0,0.0003552227203847333,0.0002141902467992803,0.00014999999999999755,3.316735535138029e-05,0.9968191994785782,bolivia,max_diagonal
0.9972386936243863,0.00029064309457641526,0.0,0.0007552636854017202,0.00021578947368424022,0.0013680311745827445,0.0,0.00013157894736847667,0.0021036842105262685,0.9978947368421053,0.0,0.0,0.0,1.5789473684212355e-06,0.0,0.0,0.00072441599933783,0.0,0.99366817235067,0.0,0.00262838119890375,0.002528943779771728,0.00020650537023175544,0.00024358130108503623,0.0027229257894574505,0.0,7.894736842105266e-05,0.9970632772506038,0.0,2.1052631578947555e-05,4.003935488726539e-05,7.375760505149868e-05,0.001303935684580623,0.000506781952029998,0.0,0.0013805010516230911,0.9916383130594288,0.004232696550419239,0.00019020787988133385,0.0007475638220365698,0.0005106795657775084,0.00014330547065079312,0.0,0.0012936205972078933,0.00013157894736841815,0.9978947368421053,2.6078576890078686e-05,0.0,0.0020894736842104814,0.0,0.0,0.0,0.0,1.578947368421053e-05,0.9978947368421053,0.0,0.0016115351554912766,0.00042330657226267613,0.0,5.4631956456528744e-05,0.0,1.578947368421062e-05,0.0,0.9978947368421053,brazil,max_diagonal
0.9810473090335068,0.0,0.0,0.011759901283212753,0.0025607759132253416,0.004632013770055058,0.0,0.0,0.002105263157894692,0.9978947368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.00022711540240958779,0.0,0.9978711002364334,0.0,0.0010723272462836602,0.000698034699963007,4.219827824354139e-05,8.922413666688279e-05,2.853163611803959e-21,0.0,0.035161817053088955,0.9648381829469109,0.0,0.0,0.0,0.0,1.7502919098943487e-05,0.0,0.0,0.0011583091416201908,0.9978947368421055,0.0008155210296808669,0.0,0.00011393006749469325,0.00012690218320217056,0.0,0.0,0.002404850330614812,0.0015852947522114057,0.9949229758997437,0.0002017324971436526,0.0007582443370845509,0.0013010426540140333,0.0,0.0,0.00139490652074377,0.0,0.00039473684210525545,0.9969093139831372,0.0,0.005657453744064289,0.0,0.0,0.013603025963063287,0.0,0.0,0.0,0.9807395202928725,chile,max_diagonal
0.9782554173241029,0.005191481846320816,0.0,0.0010885933368458085,0.007009412779351653,0.00845509471337872,0.0,0.0,0.008442239072362318,0.9846237059450893,0.0,0.0,0.006639937335489614,0.00029411764705881407,0.0,0.0,0.0003913401140832256,0.0,0.9967972476638141,0.0,0.0014308978601082396,0.0005006752418247285,7.874897414079086e-05,0.000801090146028906,0.000735294117647043,0.0,0.0012187755511325542,0.9968694597429852,0.0008823529411764525,0.0002941176470588189,0.0,0.0,0.00040330080066592694,0.00044528955245179126,0.0,0.0002474601714463717,0.9913226863137146,0.006205770931065247,0.00048575130363754244,0.0008897409270185014,0.0005882352941176343,0.00014705882352940874,0.0,0.00029411764705881716,0.012970972297119162,0.9859996159381751,0.0,0.0,0.007808582459909306,0.001029411764705858,0.0,0.0,0.0042005039902938725,0.0,0.9869615017850911,0.0,0.0005882352941176348,0.0007632613844290064,0.0,0.0007376563714509762,0.008069771580301343,0.00033088681917033716,0.0,0.9895101885505307,colombia,max_diagonal
0.9950099009900988,0.0009439477481691268,0.0,0.0003999999999999996,1.7347234759768086e-19,0.0036461512617320343,0.0,0.0,0.007430283892505642,0.9923197161074944,0.0,0.0,0.0,0.0002499999999999962,0.0,0.0,8.578532125606595e-05,0.0,0.9995570244207489,0.0,0.0,0.00019382355672043424,0.000140219199627498,2.3147501647010844e-05,0.0,0.0,5.850896860951037e-05,0.99975,0.0,0.00019149103139048436,0.0,0.0,0.0013382105944549957,0.0009096973783955574,0.0,0.0013700445768471837,0.9923931134451939,0.002793136818881141,0.0011854344538265763,1.036273240065725e-05,0.01264596578967032,0.0002499999999999947,0.0,0.0,0.0,0.9871040342103296,0.0,0.0,0.0042458081426084565,0.00024999999999999534,0.0,0.0,0.0,0.0,0.9955041918573917,0.0,0.01944576813828753,0.014648876062510802,0.0,0.0,0.0,0.0,0.0,0.9659053557992017,costa_rica,max_diagonal
0.9975,0.0,0.0,0.0024999999999999506,0.0,0.0,0.0,0.0,0.025541031258257525,0.9744589687417424,0.0,0.0,0.0,0.0,0.0,0.0,0.000968267413215893,0.0,0.9975,0.0,0.0015317325867840537,0.0,0.0,0.0,0.0,0.0,0.030886696893321727,0.9691133031066783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002499999999999939,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.029044839716055478,0.0,0.9709551602839446,0.0,0.0,0.01194848514572492,0.0,0.0,0.01016524977799907,0.0,0.0,0.9778862650762761,0.0,0.0,0.0,0.0,0.03178564644105594,0.0,0.0,0.0,0.968214353558944,dominican_republic,max_diagonal
