category_ipcc,``$CAT-LIVESTOCK$``
buffalo,buffalo
buffalo_dairy,buffalo
buffalo_nondairy,buffalo
cattle_dairy,cattle_dairy
cattle_nondairy,cattle_nondairy
chicken_broiler,chicken
chicken_layer,chicken
goat,goat
horses,horses
mules,mules
poultry_low_productivity,chicken
sheep,sheep
sheep_dairy,sheep
sheep_nondairy,sheep
swine,pigs
swine_breeding,pigs
swine_growing,pigs
