ISO_A3,kcc,count
CUB,120.0,123469
CUB,130.0,10327
CUB,221.0,48
CUB,331.0,201
CUB,332.0,376
CUW,120.0,39
CUW,221.0,514
CYM,120.0,379
CYP,221.0,2323
CYP,311.0,10344
CYP,312.0,41
CZE,332.0,101306
CZE,432.0,38243
CZE,433.0,1881
CZE,510.0,4
DEU,332.0,648364
DEU,333.0,15
DEU,432.0,10848
DEU,433.0,1875
DEU,510.0,195
DJI,211.0,24945
DJI,221.0,1126
DJI,321.0,3
DMA,110.0,857
DMA,130.0,14
DMA,332.0,13
DNK,332.0,88135
DOM,110.0,16830
DOM,120.0,22287
DOM,130.0,10218
DOM,221.0,2969
DOM,322.0,312
DOM,331.0,41
DOM,332.0,7028
DOM,333.0,9
DOM,510.0,5
DZA,211.0,2673616
DZA,212.0,44744
DZA,221.0,4347
DZA,222.0,188654
DZA,311.0,145712
DZA,312.0,3871
DZA,331.0,1653
ECU,110.0,119458
ECU,120.0,57267
ECU,130.0,17319
ECU,211.0,7644
ECU,221.0,18993
ECU,222.0,122
ECU,312.0,1347
ECU,322.0,9074
ECU,323.0,19
ECU,331.0,123
ECU,332.0,44130
ECU,333.0,433
ECU,510.0,22080
ECU,520.0,48
EGY,211.0,1288503
EGY,212.0,18129
EGY,221.0,56
ERI,120.0,18237
ERI,211.0,92131
ERI,212.0,138
ERI,221.0,30695
ERI,222.0,2658
ERI,311.0,676
ERI,312.0,724
ERI,321.0,315
ERI,322.0,2211
ERI,331.0,518
ERI,332.0,47
ESP,211.0,5101
ESP,212.0,165
ESP,221.0,9039
ESP,222.0,112223
ESP,311.0,283566
ESP,312.0,135933
ESP,313.0,10
ESP,331.0,38347
ESP,332.0,183948
ESP,333.0,888
ESP,412.0,131
ESP,413.0,23
ESP,432.0,4
ESP,433.0,2500
ESP,510.0,846
EST,332.0,423
EST,432.0,100918
ETH,120.0,479880
ETH,130.0,11419
ETH,211.0,296772
ETH,221.0,265903
ETH,222.0,2794
ETH,311.0,1154
ETH,312.0,32637
ETH,313.0,122
ETH,321.0,10255
ETH,322.0,173496
ETH,323.0,544
ETH,331.0,99
ETH,332.0,55612
ETH,333.0,337
ETH,510.0,2011
FIN,332.0,404
FIN,432.0,147738
FIN,433.0,747419
FIN,510.0,2150
FJI,110.0,20598
FJI,130.0,1592
FJI,211.0,263
FJI,331.0,3
FJI,332.0,104
FRA,110.0,48386
FRA,120.0,1866
FRA,130.0,51567
FRA,222.0,31
FRA,311.0,32767
FRA,312.0,18668
FRA,321.0,45
FRA,322.0,25
FRA,331.0,12208
FRA,332.0,840716
FRA,333.0,854
FRA,432.0,4271
FRA,433.0,11077
FRA,510.0,5772
FRA,520.0,11
FRO,332.0,1
FRO,333.0,2324
FRO,510.0,612
FSM,110.0,676
GAB,120.0,274570
GAB,130.0,29258
GBR,332.0,452901
GBR,333.0,29427
GBR,433.0,21
GBR,510.0,181
GEO,222.0,402
GEO,331.0,34062
GEO,332.0,25832
GEO,432.0,25443
GEO,433.0,17306
GEO,510.0,6030
GEO,520.0,2
GHA,120.0,265213
GHA,130.0,16239
GIB,311.0,4
GIN,120.0,249110
GIN,130.0,41005
GIN,312.0,10
GMB,120.0,12401
GMB,221.0,150
GNB,120.0,38094
GNB,130.0,1050
GNQ,110.0,1218
GNQ,120.0,5981
GNQ,130.0,23455
GNQ,332.0,532
GRC,221.0,91
GRC,222.0,7458
GRC,311.0,138585
GRC,312.0,24307
GRC,331.0,10967
GRC,332.0,13449
GRC,412.0,79
GRC,413.0,7
GRC,432.0,1489
GRC,433.0,297
GRD,110.0,253
GRD,130.0,157
GRL,222.0,9
GRL,433.0,1700
GRL,510.0,3627046
GRL,520.0,5847377
GTM,110.0,28240
GTM,120.0,41890
GTM,130.0,35505
GTM,221.0,83
GTM,321.0,1
GTM,322.0,19240
GTM,323.0,62
GTM,331.0,29
GTM,332.0,6728
GTM,510.0,325
GUM,110.0,663
GUY,110.0,133786
GUY,120.0,23372
GUY,130.0,90176
GUY,332.0,401
HKG,321.0,1307
HND,110.0,16479
HND,120.0,68370
HND,130.0,35045
HND,221.0,73
HND,311.0,160
HND,312.0,455
HND,321.0,1164
HND,322.0,7380
HND,331.0,1713
HND,332.0,4584
HRV,311.0,1812
HRV,331.0,31710
HRV,332.0,55812
HRV,432.0,1249
HRV,433.0,20
HTI,110.0,6679
HTI,120.0,15770
HTI,130.0,7847
HTI,221.0,979
HTI,322.0,1029
HTI,332.0,835
HUN,331.0,31497
HUN,332.0,123113
HUN,432.0,4584
IDN,110.0,1846165
IDN,120.0,117766
IDN,130.0,141441
IDN,221.0,98
IDN,322.0,4182
IDN,323.0,6
IDN,332.0,84047
IDN,333.0,387
IDN,510.0,3397
IMN,332.0,1134
IMN,333.0,1
IND,110.0,1217
IND,120.0,1439889
IND,130.0,142826
IND,211.0,300843
IND,212.0,8793
IND,221.0,721259
IND,222.0,15446
IND,311.0,510
IND,312.0,720
IND,321.0,1054298
IND,322.0,59898
IND,323.0,383
IND,331.0,13360
IND,332.0,11871
IND,411.0,74
IND,412.0,6556
IND,413.0,12950
IND,422.0,451
IND,423.0,5806
IND,431.0,1
IND,432.0,14016
IND,433.0,11964
IND,510.0,95900
IND,520.0,501
IRL,332.0,134224
IRL,333.0,118
IRN,211.0,902718
IRN,212.0,268038
IRN,221.0,125539
IRN,222.0,413904
IRN,311.0,364876
IRN,312.0,23424
IRN,321.0,17
IRN,322.0,4
IRN,331.0,10209
IRN,332.0,2464
IRN,411.0,30898
IRN,412.0,103845
IRN,413.0,1072
IRN,422.0,19
IRN,423.0,1
IRN,432.0,130
IRN,510.0,66
IRQ,211.0,472681
IRQ,221.0,65603
IRQ,311.0,67393
IRQ,411.0,1335
IRQ,412.0,1251
ISL,333.0,44493
ISL,433.0,1
ISL,510.0,235111
ISR,211.0,13430
ISR,212.0,809
ISR,221.0,5632
ISR,222.0,18
ISR,311.0,8261
ITA,221.0,1742
ITA,222.0,6913
ITA,311.0,162566
ITA,312.0,20667
ITA,331.0,158150
ITA,332.0,83492
ITA,333.0,23
ITA,412.0,18
ITA,413.0,7
ITA,432.0,13150
ITA,433.0,16834
ITA,510.0,13874
ITA,520.0,31
JAM,110.0,6071
JAM,120.0,2279
JAM,130.0,5091
JAM,332.0,63
JOR,211.0,84610
JOR,212.0,20413
JOR,221.0,2581
JOR,222.0,9639
JOR,311.0,3693
JOR,312.0,250
JPN,110.0,434
JPN,120.0,1
JPN,130.0,38
JPN,331.0,345726
JPN,332.0,9006
JPN,431.0,23369
JPN,432.0,164926
JPN,433.0,4632
JPN,510.0,10
KAZ,212.0,1013882
KAZ,222.0,1483068
KAZ,311.0,51604
KAZ,411.0,49975
KAZ,412.0,24141
KAZ,413.0,2215
KAZ,422.0,52
KAZ,423.0,3621
KAZ,431.0,390382
KAZ,432.0,1624084
KAZ,433.0,80729
KAZ,510.0,18943
KAZ,520.0,55
KEN,110.0,7178
KEN,120.0,123805
KEN,130.0,11410
KEN,211.0,135314
KEN,221.0,314105
KEN,312.0,23746
KEN,321.0,422
KEN,322.0,16418
KEN,332.0,47926
KEN,333.0,210
KEN,510.0,844
KGZ,212.0,1372
KGZ,222.0,42720
KGZ,311.0,3261
KGZ,312.0,4
KGZ,411.0,22386
KGZ,412.0,45370
KGZ,413.0,27380
KGZ,423.0,9502
KGZ,431.0,65
KGZ,432.0,31991
KGZ,433.0,53832
KGZ,510.0,70647
KGZ,520.0,300
KHM,120.0,192634
KHM,130.0,24365
KHM,321.0,16
KHM,322.0,12
KIR,110.0,216
KIR,120.0,529
KIR,221.0,3
KNA,110.0,103
KNA,120.0,52
KNA,130.0,166
KOR,321.0,43465
KOR,331.0,35310
KOR,332.0,141
KOR,421.0,46286
KOR,422.0,6724
KOR,431.0,3170
KOR,432.0,6915
KWT,211.0,23360
LAO,120.0,109172
LAO,130.0,49192
LAO,321.0,108342
LAO,322.0,14489
LBN,311.0,11046
LBN,312.0,2820
LBN,412.0,127
LBR,110.0,23824
LBR,120.0,8761
LBR,130.0,79552
LBY,211.0,2082317
LBY,212.0,2037
LBY,221.0,27954
LBY,222.0,7211
LBY,311.0,7714
LBY,312.0,2266
LCA,110.0,729
LIE,332.0,145
LIE,432.0,24
LIE,433.0,54
LIE,510.0,15
LKA,110.0,20512
LKA,120.0,45624
LKA,130.0,10468
LKA,312.0,31
