iso_code3,longitude,latitude
ABW,-69.99309963421958,12.514940424597574
AFG,67.50738688624715,34.61259162704533
AGO,14.500521710248439,-10.344261092547795
AIA,-63.05809861913145,18.22363434879624
ALA,19.989938565168636,60.158067010377124
ALB,19.858921492475098,41.206902216622495
AND,1.5622809018626138,42.524074431587934
ARE,55.139858141489164,24.67232462453542
ARG,-61.31178135340029,-33.02016074802312
ARM,44.591882878348066,40.27137496340707
ASM,-170.69043796973168,-14.309417466224012
ATG,-61.819799619627986,17.11104407329859
AUS,144.76537180599146,-32.92057848099158
AUT,14.704342081855726,47.784309297575376
AZE,48.134344516646706,40.269753135442485
BDI,29.841675961004103,-3.252673820154001
BEL,4.439392635541555,50.846102822750915
BEN,2.298194617743632,8.082779043871078
BES,-66.91206467522102,13.60157810044527
BFA,-1.8881692997149555,12.220239342141943
BGD,90.2513460628737,23.94161565207583
BGR,25.03979295576417,42.72789158867999
BHR,50.564094907121316,26.16813952463928
BHS,-77.4196415437923,25.24753331285922
BIH,17.90670809744477,44.332335780945684
BLM,-62.83383609359722,17.906441340229375
BLR,27.841999157292157,53.53764704959128
BLZ,-88.58002250413746,17.362791210013814
BMU,-64.78041104205377,32.300149134980565
BOL,-65.61266248391492,-17.448059718991235
BRA,-45.79728954033165,-16.812879051332487
BRB,-59.56395912796397,13.14289391524375
BRN,114.81300577889294,4.847217962418056
BTN,90.2306101697188,27.207468504836275
BWA,25.623412615886394,-22.9534502855006
CAF,18.430254980120637,5.448575796996445
CAN,-88.2494062260452,46.89489854978547
CHE,7.949050312252444,47.01950723494038
CHL,-71.27073369830202,-34.051241231816725
CHN,113.81665324836361,32.32707203975302
CIV,-5.345088772222265,6.69757848768579
CMR,11.811627824699313,6.1732823835694886
COD,23.96874853904109,-4.19595087637747
COG,15.190944999399518,-1.9045212833637655
COK,-159.79468425025763,-20.497894316010562
COL,-74.85772312216821,5.876475742782778
COM,43.59058359465768,-11.974983887707817
CPV,-23.981997872725046,15.682248394486491
CRI,-84.15880258906498,9.973118541243775
CUB,-79.32430745484376,21.778468034142627
CUW,-68.92284158923782,12.147680177901796
CYM,-81.28696350135527,19.3171650839192
CYP,33.306806897319625,35.01709880562414
CZE,15.52017182556361,49.83330043698138
DEU,9.667407050727745,50.81961464949886
DJI,42.85233989521589,11.598914681264196
DMA,-61.353284283170765,15.388236233073119
DNK,10.893625714680196,55.851698285559664
DOM,-70.14826718339356,18.796921499789295
DZA,3.4940618716499725,35.52456973326537
ECU,-79.28042243277312,-1.4073741145368794
EGY,31.238757814489155,29.583001128359623
ERI,38.56002039157536,15.507236149678999
ESH,-13.889712104158635,26.007195793089874
ESP,-3.143042093278336,39.59072203555886
EST,25.455662946191964,59.01777528630226
ETH,38.60075579946292,9.013605978043008
FIN,24.948237567759445,61.709536522543466
FJI,169.967186595081,-17.710784935402057
FLK,-58.08311783002473,-51.71861217232766
FRA,2.6422035936870296,47.0468681963262
FRO,-6.821704191196179,62.041085015848516
FSM,153.37681276200396,7.2013391546941685
GAB,11.227625186169634,-0.38961386963769046
GBR,-1.6379883329244025,52.71028083856771
GEO,43.70139195589455,41.9340904516794
GGY,-2.549332795270944,49.46931806312292
GHA,-0.9873675272572371,6.867318574471042
GIB,-5.349052972771242,36.137162388929504
GIN,-11.586401014048636,10.18429005813995
GLP,-61.54709781438288,16.20980796327508
GMB,-16.060676506662375,13.397926239277986
GNB,-15.249499869054166,12.015478972386594
GNQ,9.935705244482767,2.1662875484954975
GRC,23.329120075068033,38.691966976191104
GRD,-61.680187808564746,12.115645673255298
GRL,-50.66339946008936,65.99382487032933
GTM,-90.7626464234122,14.974032892422628
GUF,-53.055441840357844,4.745100006461389
GUM,144.80850601069824,13.486612344073095
GUY,-58.219544480513015,6.491529418133665
HKG,114.15113866940766,22.355189155722442
HND,-87.47288303722436,14.772988561049248
HRV,16.336943507708586,45.21783182287518
HTI,-72.60998293304327,18.88416098019328
HUN,19.402233951979746,47.31807343694305
IDN,110.44017761758064,-4.830386172114025
IMN,-4.53377791512569,54.19176461310379
IND,80.13956798598971,22.6054386437651
IRL,-7.388298245996286,53.13127698551073
IRN,51.86885184844036,34.13800695481528
IRQ,44.605381112427544,33.638428637518146
ISL,-21.16996985007744,64.32640295424149
ISR,34.98385337283139,32.12953447302809
ITA,12.048369076424107,42.97915497650547
JAM,-77.1895955625672,18.118472678355523
JEY,-2.116845490950711,49.200468299372055
JOR,35.915983406946076,31.981724102931576
JPN,137.14316984637497,35.57468045259118
KAZ,69.85850099946339,46.70675599726683
KEN,36.7388575981151,-0.29894237901252135
KGZ,73.73179329964684,41.57758375194708
KHM,104.53538982755435,12.283430417013493
KIR,145.2121970074451,1.2990465595155907
KNA,-62.70216904715433,17.273498652763813
KOR,127.47395714838599,36.67030392839402
XKX,20.921880398445623,42.53855215215349
KWT,47.928438538188445,29.228566039734545
LAO,103.81048389744366,17.94311001422897
LBN,35.617968529304996,33.841617465857446
LBR,-9.87340928969533,6.486514404069446
LBY,15.770688929197865,31.404735960500457
LCA,-60.96772245599938,13.926167698550037
LIE,9.549808007363303,47.15684295923848
LKA,80.42615758184478,7.203197104848449
LSO,27.96121196968275,-29.45382215645881
LTU,23.934783423865323,55.17593434276363
LUX,6.089335322798767,49.64679228160236
LVA,24.449823161776536,56.83439469254526
MAC,113.548860440226,22.194383646423976
MAF,-63.05715781399204,18.08190092104542
MAR,-6.635732875898339,33.18130911200406
MCO,7.425318970170054,43.7369881872716
MDA,28.596914061013923,47.162419089306105
MDG,47.2598815931411,-19.363776126015814
