design_id,vary_l,vary_x,linear_transform_l_m,linear_transform_l_b,linear_transform_l_inf,linear_transform_l_sup,design_name,include
0,0,1,1,0,1,1,Vary Xs (design 0),1
1,1,1,0.75,0.25,0.25,1,Vary Xs and Les; Cap LE at 1 (design 1),1
2,1,1,1.25,0,0.25,1,"Vary Xs and LEs; Cap LE at 1.1 (design 2, 20% chance that a given variable will face maximum implementation or 20% that it will face 25% implementation)",1
3,1,0,0.9,0.1,0.1,1,Vary LEs; (design 3),1
