Power,``$UNIT-POWER$``,Annualized ``$UNIT-ENERGY$`` Equivalent,Name ,Power Equivalent MW,Power Equivalent GW,,
MW,``mw``,``mwy``,Megawatt,1,0.001,,
GW,``gw``,``gwy``,Gigawatt,1000,1,,
