Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Emission Factor,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Input,PFC-31-10 Production Process Emission Factor," | Unitless emission factor for Perflubutane/Decafluorobutane (PFC-31-10, or :math:`\text{C}_4\text{F}_10`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c4f10``)",,``chemicals``,,,,1,0,1,1,0,
Input,PFC-51-14 GDP Product Use Emission Factor," | Emission factor for Perfluorohexane/Tetradecafluorohexane (PFC-51-14, or :math:`\text{C}_6\text{F}_{14}`) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c6f14``)",,``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,PFC-51-14 Production Process Emission Factor," | Unitless emission factor for Perfluorohexane/Tetradecafluorohexane (PFC-51-14, or :math:`\text{C}_6\text{F}_14`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c6f14``)",,``chemicals``,,,,1,0,1,1,0,
Input,PFC-C-1418 Production Process Emission Factor," | Unitless emission factor for Octafluorocyclopentene (PFC-1418, or :math:`\text{C}_5\text{F}_8`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c5f8``)",,``electronics``,,,,1,0,1,1,0,
Input,PFC-C-318 Production Process Emission Factor," | Unitless emission factor for Perfluorocyclobutane (PFC-C-318, or :math:`\text{c-C}_4\text{F}_8`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = cc4f8``)",,``chemicals``|``electronics``,,,,1,0,1,1,0,
Input,Ratio of Production to Harvested Wood Demand,,``ratio_ippu_production_to_harvested_wood_demand_$CAT-INDUSTRY$``,,``paper``|``wood``,,,,0,0,1,1,0,
Input,Wastewater Production Factor,Volume of wastewater generated per tonne of production.,"``vol_ippu_$CAT-INDUSTRY$_$UNIT-VOLUME$_ww_per_$UNIT-MASS$_production`` (``$UNIT-VOLUME$ = m3``, ``$UNIT-MASS$ = tonne``)",,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``rubber_and_leather``|``textiles``|``wood``,,,,0,0,1,1,0,
Output,:math:`\text{CH}_4` Emissions from Industrial Production Processes,,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch4``),,``chemicals``|``metals``|``paper``|``plastic``,,,,0,1,1,1,1,
Output,:math:`\text{CO}_2` Captured in Industrial Processes and Product Use,Fraction of :math:`\text{CO}_2` emitted that is captured at the point of emission. ,"``gasrecovered_ippu_$UNIT-MASS$_$EMISSION-GAS$_capture_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-MASS$ = mt``)",,``chemicals``|``cement``|``glass``|``lime_and_carbonite``|``metals``|``plastic``,,,,0,1,1,1,0,
Output,:math:`\text{CO}_2` Emissions from Industrial Product Use,,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = co2``),,``product_use_lubricants``|``product_use_other``|``product_use_paraffin_wax``,,,,0,1,1,1,1,
