Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Emission Factor,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Input,:math:`\text{CH}_4` Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CH}_4` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``)",,``chemicals``|``metals``|``plastic``,,,,1,0,1,1,0,
Input,:math:`\text{CO}_2` Clinker Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CO}_2` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$_clinker`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``)",,``cement``,,,,1,0,1,1,0,
Input,:math:`\text{CO}_2` Product Use Emission Factor,Unitless carbon dioxide emission factor (tonne/tonne) representing how tonnes of :math:`\text{C}` are emitted per tonne of product use.,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_product_use_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``)",,``product_use_lubricants``|``product_use_paraffin_wax``,,,,1,0,1,1,0,
Input,:math:`\text{CO}_2` Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CO}_2` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``)",,``chemicals``|``glass``|``lime_and_carbonite``|``metals``|``plastic``,,,,1,0,1,1,0,
Input,:math:`\text{N}_2\text{O}` GDP Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{N}_2\text{O}` emitted per billion $USD GDP.,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``)",,``other_product_manufacturing``,,,,1,0,1,1,0,
Input,:math:`\text{N}_2\text{O}` Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{N}_2\text{O}` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``)",,``chemicals``|``electronics``,,,,1,0,1,1,0,
Input,:math:`\text{NF}_3` Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{NF}_3` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = nf3``)",,``chemicals``|``electronics``,,,,1,0,1,1,0,
Input,:math:`\text{SF}_6` GDP Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{SF}_6` emitted per billion $USD GDP.,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = sf6``)",,``other_product_manufacturing``,,,,1,0,1,1,0,
Input,:math:`\text{SF}_6` Production Process Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{SF}_6` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = sf6``)",,``chemicals``|``electronics``|``metals``,,,,1,0,1,1,0,
Input,Average Lifespan of Housing Construction,"Average lifespan, in years, of housing construction. Used to estimate replacement of old stock housing. ",``timespan_ippu_average_lifetime_of_housing``,,none,,,,0,0,1,1,0,
Input,Average per Household Demand for Construction Materials,,``dem_ippu_average_materials_$UNIT-MASS$_per_household_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``),,``cement``|``wood``,,,,0,0,1,1,0,
Input,Clinker Fraction of Cement,,``frac_ippu_$CAT-INDUSTRY$_clinker``,,``cement``,See Equation 2.2 in V3,,,0,0,1,1,0,
Input,COD Wastewater Factor,Mass of chemical oxygen demand (COD) generated per tonne of production.,"``qty_ippu_$CAT-INDUSTRY$_$UNIT-MASS$_cod_per_$UNIT-VOLUME$_ww`` (``$UNIT-MASS$ = tonne``, ``$UNIT-VOLUME$ = m3``)",,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``paper``|``plastic``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``rubber_and_leather``|``textiles``|``wood``,,,,0,0,1,1,0,
Input,Dodecafluoropentane Production Process Emission Factor," | Unitless emission factor for Dodecafluoropentane (:math:`\text{C}_5\text{F}_12`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c5f12``)",,``chemicals``,,,,1,0,1,1,0,
Input,Elasticity of Industrial Production to GDP,,``elasticity_ippu_$CAT-INDUSTRY$_production_to_gdp``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``paper``|``plastic``|``rubber_and_leather``|``textiles``|``wood``,,,,0,0,1,1,0,
Input,Elasticity of Product Use Rate to GDP per Capita,,``elasticity_ippu_$CAT-INDUSTRY$_product_use_rate_to_gdppc``,,``product_use_lubricants``|``product_use_paraffin_wax``|``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,0,1,1,0,
Input,HCFC-141b GDP Product Use Emission Factor,"Emission factor for 1,1-Dichloro-1-fluoroethane (HCFC-141b) per (tonne/mmm GDP)","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch3cci2f``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HCFC-142b GDP Product Use Emission Factor,"Emission factor for 1-Chloro-1,1-difluoroethane (HCFC-142b) per (tonne/mmm GDP)","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch3ccif2``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-125 GDP Product Use Emission Factor," | Emission factor for Pentafluoroethane (HFC-125) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c2hf5``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-125 Production Process Emission Factor," | Unitless emission factor for Pentafluoroethane (HFC-125, or :math:`\text{C}_2\text{HF}_5`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c2hf5``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-134 GDP Product Use Emission Factor,"Emission factor for 1,1,2,2-Tetrafluoroethane (HFC-134, or :math:`\text{CHF}_2\text{CHF}_2`) per (tonne/mmm GDP)","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = chf2chf2``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-134a GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-134a) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = chf2cf3``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-134a Production Process Emission Factor," | Unitless emission factor for 1,1,1,2-Tetrafluoroethane (HFC-134a, or :math:`\text{CHF}_2\text{CF}_3`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = chf2cf3``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-143 GDP Product Use Emission Factor,"Emission factor for 1,1,2-Trifluoroethane (HFC-143, or :math:`\text{CH}_2\text{FCHF}_2`) per (tonne/mmm GDP)","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch2fchf2``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-143a GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-143a) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c2h3f3``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-143a Production Process Emission Factor," | Unitless emission factor for 1,1,1-Trifluoroethane (HFC-143a, or :math:`\text{C}_2\text{H}_3\text{F}_3`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c2h3f3``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-152a GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-152a) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch3chf2``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-152a Production Process Emission Factor," | Unitless emission factor for 1,1-Difluoroethane (HFC-152a, or :math:`\text{CH}_3\text{CHF}_2`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch3chf2``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-227ea GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-227ea) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c3hf7``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-227ea Production Process Emission Factor," | Unitless emission factor for 1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea, or :math:`\text{C}_3\text{HF}_7`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c3hf7``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-23 GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-23) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = chf3``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,1,0,1,1,0,
Input,HFC-23 Production Process Emission Factor," | Unitless emission factor for Trifluoromethane (HFC-23, or :math:`\text{CHF}_3`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = chf3``)",,``chemicals``|``electronics``,,,,1,0,1,1,0,
Input,HFC-236fa GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-236fa) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c3h2f6``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-245fa GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-245fa) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c3h3f5``)",,``product_use_ods_refrigeration``|``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-32 GDP Product Use Emission Factor," | Emission factor for Difluoromethane (HFC-32) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch2f2``)",,``product_use_ods_refrigeration``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-32 Production Process Emission Factor," | Unitless emission factor for Difluoromethane (HFC-32, or :math:`\text{CH}_2\text{F}_2`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch2f2``)",,``chemicals``|``electronics``,,,,1,0,1,1,0,
Input,HFC-365mfc GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-365mfc) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c4h5f5``)",,``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,HFC-365mfc Production Process Emission Factor," | Unitless emission factor for 1,1,1,3,3-Pentafluorobutane (HFC-365mfc, or :math:`\text{C}_4\text{H}_5\text{F}_5`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c4h5f5``)",,``chemicals``,,,,1,0,1,1,0,
Input,HFC-41 Production Process Emission Factor," | Unitless emission factor for Fluoromethane (HFC-41, or :math:`\text{CH}_3\text{F}`) per (tonne/tonne of production)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch3f``)",,``electronics``,,,,1,0,1,1,0,
Input,HFC-43-10mee GDP Product Use Emission Factor," | Emission factor for Trifluoromethane (HFC-43-10mee) per (tonne/mmm GDP)
 | 
 | See `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_ for emissions by gas of HFCs and PFCs.","``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = c5h2f10``)",,``product_use_ods_other``,"See V3, C7, Table 7.1 of IPCC GNGHGI (2019R) for gas specification",,,1,0,1,1,0,
Input,Industrial :math:`\text{CO}_2` Capture Efficacy," | Fraction of :math:`\text{CO}_2` emitted that is captured when CCS is implemented.
 | 
 | **NOTE**: this variable is used in Industrial Energy (INEN) as well to determine the share of :math:`\text{CO}_2` emissions that are captured.
 | 
 | **NOTE**: this variable applies only to process emissions and does not affect product use emissions.",``gasrf_ippu_$EMISSION-GAS$_capture_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = co2``),,``chemicals``|``cement``|``glass``|``lime_and_carbonite``|``metals``|``plastic``,,,,0,0,1,1,0,
Input,Industrial :math:`\text{CO}_2` Capture Prevalence," | Fraction of industrial production subject to CCS, which reduces :math:`\text{CO}_2` emissions.
 | 
 | **NOTE**: this variable is used in Industrial Energy (INEN) as well to determine the share of :math:`\text{CO}_2` emissions that are captured.
 | 
 | **NOTE**: this variable applies only to process emissions and does not affect product use emissions.",``frac_ippu_production_with_$EMISSION-GAS$_capture_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = co2``),,``chemicals``|``cement``|``glass``|``lime_and_carbonite``|``metals``|``plastic``,,,,0,0,1,1,0,
Input,Industrial Production Scalar," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",``demscalar_ippu_$CAT-INDUSTRY$``,,``cement``|``chemicals``|``construction_and_demolition``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``product_use_lubricants``|``other_industries``|``other_product_manufacturing``|``product_use_other``|``product_use_ods_other``|``product_use_ods_refrigeration``|``paper``|``product_use_paraffin_wax``|``plastic``|``rubber_and_leather``|``textiles``|``wood``,,,,0,0,1,1,0,
Input,Initial Industrial Production,"Production at :math:`t = 0` of an industrial category, in tonnes. Future production is elastic to GDP and is modified by an exogenous scalar (representing changes to industry). ",``prodinit_ippu_$CAT-INDUSTRY$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``rubber_and_leather``|``textiles``|``wood``,,,,0,0,1,1,0,
Input,Initial Non-Energy Fuel Use,Includes paraffin wax and lubricant use,``useinit_ippu_$CAT-INDUSTRY$_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),,``product_use_lubricants``|``product_use_paraffin_wax``," | Paraffix wax use by country is available from `UN Data <http://data.un.org/Data.aspx?d=EDATA&f=cmID%3APW#EDATA>`_
 | 
 | Lubricant use by country is available from `UN Data <http://data.un.org/Data.aspx?d=EDATA&f=cmID%3ALU>`_",,,0,0,1,1,0,
Input,Initial Other Non-Energy :math:`\text{CO}_2` Emissions,,"``emitinit_ippu_$CAT-INDUSTRY$_$UNIT-MASS$_$EMISSION-GAS$`` (``$UNIT-MASS$ = kt``, ``$EMISSION-GAS$ = co2``)",,``product_use_other``,,,,0,0,1,1,0,
