Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Input,:math:`\text{CH}_4` Stationary Combustion Emission Factor,"Methane stationary fuel combustion emission factor, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_stationary_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_$CAT-FUEL$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,"See Table 2.2 in V2, C2 (energy industry default stationary combustion emission factors) of IPCC GNGHGI for stationary combustion :math:`\text{CH}_4` emission factors.",,,0,1,1,0,
Input,:math:`\text{CO}_2` Combustion Emission Factor,"Carbon Dioxide fuel combustion emission factor, enetered as tonne of :math:`\text{CO}_2` are emitted per TJ of energy demanded","``ef_enfu_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_$CAT-FUEL$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``, ``$UNIT-ENERGY$ = tj``)",,"See Table 2.2 in V2, C2 (energy industry default stationary combustion emission factors) and Table 3.2.1 in V2, C3 (road transport default mobile combustion emission factors) of IPCC GNGHGI. The two are interchangeable for most fuels. Therefore, the **MODELNAME** model treats stationary and mobile :math:`\text{CO}_2` emission factors as the same.",,,0,1,1,0,
Input,:math:`\text{N}_2\text{O}` Stationary Combustion Emission Factor,"Nitrous oxide stationary fuel combustion emission factor, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_stationary_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_$CAT-FUEL$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,"See Table 2.2 in V2, C2 (energy industry default stationary combustion emission factors) of of IPCC GNGHGI for stationary combustion :math:`\text{N}_2\text{O}`) emission factors. ",,,0,1,1,0,
