r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
angola,dec_feb_we18,0.5138738451550077,0.037906016878180765,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,dec_feb_we6,0.5138738451550077,0.2057755201958385,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_wd0,0.3782977650659691,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_wd12,0.3782977650659691,0.6488193302482421,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_wd18,0.3782977650659691,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_wd6,0.3782977650659691,0.2022294016358158,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_we0,0.3782977650659691,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_we12,0.3782977650659691,0.6488193302482421,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_we18,0.3782977650659691,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,jun_aug_we6,0.3782977650659691,0.2022294016358158,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_wd0,0.5324524720709425,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_wd12,0.5324524720709425,0.6122654613287415,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_wd18,0.5324524720709425,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_wd6,0.5324524720709425,0.1908359879466208,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_we0,0.5324524720709425,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_we12,0.5324524720709425,0.6122654613287415,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_we18,0.5324524720709425,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,mar_may_we6,0.5324524720709425,0.1908359879466208,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_wd0,0.27984734831320723,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_wd12,0.27984734831320723,0.5030154069119286,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_wd18,0.27984734831320723,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_wd6,0.27984734831320723,0.24824136964484794,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_we0,0.27984734831320723,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_we12,0.27984734831320723,0.5030154069119286,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_we18,0.27984734831320723,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
angola,sep_nov_we6,0.27984734831320723,0.24824136964484794,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_wd0,0.47046301342653135,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_wd12,0.47046301342653135,0.384908001619044,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_wd18,0.47046301342653135,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_wd6,0.47046301342653135,0.07571960687587753,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_we0,0.47046301342653135,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_we12,0.47046301342653135,0.384908001619044,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_we18,0.47046301342653135,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,dec_feb_we6,0.47046301342653135,0.07571960687587753,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_wd0,0.21035989388464615,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_wd12,0.21035989388464615,0.4765875657712546,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_wd18,0.21035989388464615,0.1698946415017898,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_wd6,0.21035989388464615,0.24428264779941955,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_we0,0.21035989388464615,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_we12,0.21035989388464615,0.4765875657712546,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_we18,0.21035989388464615,0.1698946415017898,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,jun_aug_we6,0.21035989388464615,0.24428264779941955,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_wd0,0.501567915734259,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_wd12,0.501567915734259,0.46253657095980305,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_wd18,0.501567915734259,0.08779629356181447,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_wd6,0.501567915734259,0.1792635122899766,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_we0,0.501567915734259,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_we12,0.501567915734259,0.46253657095980305,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_we18,0.501567915734259,0.08779629356181447,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,mar_may_we6,0.501567915734259,0.1792635122899766,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_wd0,0.30881428877437844,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_wd12,0.30881428877437844,0.43404681109136545,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_wd18,0.30881428877437844,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_wd6,0.30881428877437844,0.1752945808500264,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_we0,0.30881428877437844,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_we12,0.30881428877437844,0.43404681109136545,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_we18,0.30881428877437844,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
albania,sep_nov_we6,0.30881428877437844,0.1752945808500264,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_wd0,0.3779035855145247,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_wd12,0.3779035855145247,0.5163662011119075,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_wd18,0.3779035855145247,0.21515258379662813,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_wd6,0.3779035855145247,0.1475332003176879,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_we0,0.3779035855145247,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
