time_period,ef_frst_sequestration_mangroves_kt_co2_ha,ef_frst_sequestration_primary_kt_co2_ha,ef_frst_sequestration_secondary_kt_co2_ha,iso_alpha_3
0,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
1,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
2,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
3,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
4,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
5,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
6,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
7,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
8,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
9,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
10,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
11,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
12,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
13,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
14,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
15,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
16,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
17,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
18,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
19,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
20,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
21,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
22,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
23,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
24,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
25,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
26,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
27,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
28,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
29,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
30,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
31,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
32,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
33,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
34,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
35,0.004723555893322074,0.0018817839560903522,0.005430464534515516,AFG
0,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
1,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
2,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
3,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
4,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
5,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
6,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
7,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
8,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
9,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
10,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
11,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
12,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
13,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
14,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
15,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
16,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
17,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
18,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
19,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
20,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
21,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
22,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
23,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
24,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
25,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
26,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
27,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
28,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
29,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
30,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
31,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
32,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
33,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
34,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
35,0.0022206275343895194,0.0008001529498731567,0.0021539481219000896,AGO
0,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
1,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
2,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
3,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
4,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
5,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
6,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
7,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
8,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
9,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
10,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
11,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
12,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
13,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
14,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
15,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
16,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
17,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
18,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
19,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
20,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
21,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
22,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
23,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
24,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
25,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
26,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
27,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
28,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
29,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
30,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
31,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
32,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
33,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
34,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
35,0.0002081088607594936,0.0002282484279297672,0.005720636314141826,ALB
0,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
1,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
2,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
3,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
4,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
5,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
6,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
7,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
8,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
9,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
10,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
11,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
12,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
13,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
14,0.003559756584063866,0.00017702374232401162,0.0034878855258422686,ARG
