time_period,ef_lndu_conv_croplands_to_croplands_gg_co2_ha,ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha,ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_croplands_to_grasslands_gg_co2_ha,ef_lndu_conv_croplands_to_other_gg_co2_ha,ef_lndu_conv_croplands_to_settlements_gg_co2_ha,ef_lndu_conv_croplands_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_primary_to_other_gg_co2_ha,ef_lndu_conv_forests_primary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_primary_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_other_gg_co2_ha,ef_lndu_conv_forests_secondary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_secondary_to_wetlands_gg_co2_ha,ef_lndu_conv_grasslands_to_croplands_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_primary_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_grasslands_to_grasslands_gg_co2_ha,ef_lndu_conv_grasslands_to_other_gg_co2_ha,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha,ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha,ef_lndu_conv_other_to_croplands_gg_co2_ha,ef_lndu_conv_other_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_other_to_forests_primary_gg_co2_ha,ef_lndu_conv_other_to_forests_secondary_gg_co2_ha,ef_lndu_conv_other_to_grasslands_gg_co2_ha,ef_lndu_conv_other_to_other_gg_co2_ha,ef_lndu_conv_other_to_settlements_gg_co2_ha,ef_lndu_conv_other_to_wetlands_gg_co2_ha,ef_lndu_conv_settlements_to_croplands_gg_co2_ha,ef_lndu_conv_settlements_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_settlements_to_forests_primary_gg_co2_ha,ef_lndu_conv_settlements_to_forests_secondary_gg_co2_ha,ef_lndu_conv_settlements_to_grasslands_gg_co2_ha,ef_lndu_conv_settlements_to_other_gg_co2_ha,ef_lndu_conv_settlements_to_settlements_gg_co2_ha,ef_lndu_conv_settlements_to_wetlands_gg_co2_ha,ef_lndu_conv_wetlands_to_croplands_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_primary_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_wetlands_to_grasslands_gg_co2_ha,ef_lndu_conv_wetlands_to_other_gg_co2_ha,ef_lndu_conv_wetlands_to_settlements_gg_co2_ha,ef_lndu_conv_wetlands_to_wetlands_gg_co2_ha,iso_alpha_3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090912,0,0,0,0.087605,0.087634,0.090912,0.090912,0.085128,0,0,0,0.081736,0.081737,0.085128,0.085128,0.090912,0,0,0,0.087605,0.087634,0.090912,0.090912,0.003307,0.0,0.0,0.0,0.0,3e-05,0.003307,0.003307,0.003278,0.0,0.0,0.0,0.0,0.0,0.003278,0.003278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
