Category Name,``$CAT-TECHNOLOGY$``,Description,Data Source,Hyperlink,Notes,CCS ``$CAT-TECHNOLOGY$``,Electricity Generation ``$CAT-FUEL$``,Generates Fuel ``$CAT-FUEL$``,Technology from Storage,Technology to Storage,``$CAT-STORAGE$``,Operational Life,Fuel Processing,Mining and Extraction,Power Plant,Storage,Renewable Default
Power Generation - Geothermal,``pp_geothermal``,Geotherml power plants, | Operational lifetime assumption: `Geothermal Energy Journal <https://geothermal-energy-journal.springeropen.com/articles/10.1186/s40517-021-00183-2>`_,,,none,``fuel_geothermal``,none,none,none,none,30,0,0,1,0,1
Power Generation - Hydropower,``pp_hydropower``,Hydropower power plants, | Operational lifetime assumption: `NREL <https://www.nrel.gov/docs/fy04osti/34916.pdf>`_,,,none,``fuel_water``,none,none,none,none,100,0,0,1,0,1
Power Generation - Natural Gas,``pp_gas``,"Natural gas power plants, including combined cycle, combustion turbine, and internal combustion engine generation technologies.", | Operational lifetime assumption: `EIA <https://www.eia.gov/todayinenergy/detail.php?id=34172>`_,,,``pp_gas_ccs``,``fuel_natural_gas``,none,none,none,none,25,0,0,1,0,0
Power Generation - Natural Gas with CCS,``pp_gas_ccs``,Natural Gas with 90% carbon capture and sequestration, | Operational lifetime assumption: `EIA <https://www.eia.gov/todayinenergy/detail.php?id=34172>`_,,,none,``fuel_natural_gas``,none,none,none,none,25,0,0,1,0,0
Power Generation - Nuclear,``pp_nuclear``,Nuclear (fission) power plants, | Operational lifetime assumption: `IAEA <https://www.iaea.org/sites/default/files/29402043133.pdf>`_,,,none,``fuel_nuclear``,none,none,none,none,30,0,0,1,0,0
Power Generation - Ocean,``pp_ocean``,"Energy derived from thermal and kinetic energy in ocean waters. NOTE, this category does not include offshore wind.
 | 
 | Operational lifetime taken from a mean of 5 plants shown in Table 1 of `Douziech, Hellweg, and Verones (2016)  <https://pubs.acs.org/doi/10.1021/acs.est.6b00156>`_",,,,none,``fuel_ocean``,none,none,none,none,34,0,0,1,0,1
Power Generation - Oil,``pp_oil``,"Oil power plants, including internal combustion engine plants.",,,,none,``fuel_oil``,none,none,none,none,40,0,0,1,0,0
Power Generation - Solar,``pp_solar``,Solar (photovoltaic) power plants, | Operational lifetime assumption: `US DOE EERE <https://www.energy.gov/eere/solar/end-life-management-solar-photovoltaics>`_,,,none,``fuel_solar``,none,none,none,none,30,0,0,1,0,1
Power Generation - Waste Incineration,``pp_waste_incineration``,Treatment from waste incineration, | Operational lifetime assumption: `World Bank <https://olcstage.worldbank.org/sites/default/files/sco/E9CB337D-79D8-EAF4-44EE-AF3A7ADADADF/swm_m03/story_content/external_files/DMG_Incineration.pdf>`_,,,none,``fuel_waste``,none,none,none,none,25,0,0,1,0,0
Power Generation - Wind,``pp_wind``,"Wind power plants, both on- and off-shore"," | Operational lifetime assumption: `EPA <https://nepis.epa.gov/Exe/tiff2png.cgi/P100IL8L.PNG?-r+75+-g+7+-h+12,3,5+D%3A%5CZYFILES%5CINDEX%20DATA%5C11THRU15%5CTIFF%5C00000661%5CP100IL8L.TIF>`_",,,none,``fuel_wind``,none,none,none,none,20,0,0,1,0,1
Storage - Batteries,``st_batteries``,Battery storage,,,,none,none,none,``st_batteries``,``st_batteries``,``st_batteries``,40,0,0,0,1,0
Storage - Compressed Air,``st_compressed_air``,Compressed air storage,,,,none,none,none,``st_compressed_air``,``st_compressed_air``,``st_compressed_air``,40,0,0,0,1,0
Storage - Flywheels,``st_flywheels``,Storage in flywheels,,,,none,none,none,``st_flywheels``,``st_flywheels``,``st_flywheels``,40,0,0,0,1,0
Storage - Pumped Hydro,``st_pumped_hydro``,Pumped hydropower storage in reservoirs.,,,,none,none,none,``st_pumped_hydro``,``st_pumped_hydro``,``st_pumped_hydro``,100,0,0,0,1,0
