Category Name,``$CAT-GENERAL$``,Definition,Notes,Total Population Component,Urban Population 
Rural,``rural``,Represents rural interests,,1,0
Urban,``urban``,"Represents urban interests, generally associated with built-up areas/settlements. See `The World Bank <https://blogs.worldbank.org/en/sustainablecities/how-do-we-define-cities-towns-and-rural-areas>`_ for a description of how urbanization is conceptualized in SISEPUEDE.",,1,1
