Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,Fraction Synthetic Fertilizer Use Urea,Fraction of synthetic fertilizer use that comes from Urea. Can change in the future.,``frac_soil_synthetic_fertilizer_urea``,none,,0,1,1,,0,,,
Input,Initial Liming Dolomite Applied to Soils,,``qtyinit_soil_liming_dolomite_applied_to_soils_$UNIT-MASS$`` (``$UNIT-MASS$ = kt),none,,0,1,1,,0,,,
Input,Initial Liming Limestone Applied to Soils,,``qtyinit_soil_liming_limestone_applied_to_soils_$UNIT-MASS$`` (``$UNIT-MASS$ = kt),none,,0,1,1,,0,,,
Input,Initial Synthetic Fertilizer Use,,``qtyinit_soil_synthetic_fertilizer_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),none,,0,1,1,,0,,,
Input,Leaching Fraction of N Lost," | See :math:`FRAC_{LEACH-(H)}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_leachh_n_lost_to_leaching``,none,,0,1,1,,0,,,
Input,Liming Demand Scalar,,``demscalar_soil_liming_per_area``,none,,0,1,1,,0,,,
Input,Soil Organic C Stocks,"See :math:`SOC_{REF}` in Table 2.3, used in Equation 2.25, for Equation 11.8, V4 IPCC GNGHGI (2019R)","``qty_soil_organic_c_stock_$CAT-SOIL-MANAGEMENT$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-AREA$ = ha``)",all,,0,1,1,,0,,,
Input,Volatilisation Fraction from Non-Urea Synthetic Fertilizers," | See :math:`FRAC_{GASF}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasf_n_volatilisation_synthetic_fertilizer_non_urea``,none,,0,1,1,,0,,,
Input,Volatilisation Fraction from Organic Amendments and Fertilizers," | See :math:`FRAC_{GASM}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasm_n_volatilisation_organic_amendments_fertilizer``,none,,0,1,1,,0,,,
Input,Volatilisation Fraction from Urea Synthetic Fertilizers," | See :math:`FRAC_{GASF}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasf_n_volatilisation_synthetic_fertilizer_urea``,none,,0,1,1,,0,,,
Output,:math:`\text{CO}_2` Emissions from Lime,,``emission_co2e_$EMISSION-GAS$_soil_lime_use`` (``$EMISSION-GAS$ = co2``),none,,0,1,1,,1,,,
Output,:math:`\text{CO}_2` Emissions from Soil Carbon in Mineral Soils,N Mineralization in conversion to cropland,``emission_co2e_$EMISSION-GAS$_soil_soc_mineral_soils`` (``$EMISSION-GAS$ = co2``),none,,0,1,1,,1,,,
Output,:math:`\text{CO}_2` Emissions from Urea,,``emission_co2e_$EMISSION-GAS$_soil_urea_use`` (``$EMISSION-GAS$ = co2``),none,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Fertilizer Use,,``emission_co2e_$EMISSION-GAS$_soil_fertilizer`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Mineral Soils,,``emission_co2e_$EMISSION-GAS$_soil_mineral_soils`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Organic Soils,,``emission_co2e_$EMISSION-GAS$_soil_organic_soils`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Emissions from Paddock Pasture and Range,,``emission_co2e_$EMISSION-GAS$_soil_paddock_pasture_range`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,1,,,
Output,Organic Fertilizer N Use,,``demand_soil_organic_fertilizer_n_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),none,,0,1,1,,0,,,
Output,Synthetic Fertilizer N Use,,``demand_soil_synthetic_fertilizer_n_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),none,,0,1,1,,0,,,
Output,Total Fertilizer N Use,,``demand_soil_fertilizer_n_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),none,,0,1,1,,0,,,
Output,Total Lime Use,,``demand_soil_lime_$UNIT-MASS$`` (``$UNIT-MASS$ = kt),none,,0,1,1,,0,,,
Output,Total Urea Use,,``demand_soil_urea_$UNIT-MASS$`` (``$UNIT-MASS$ = kt),none,,0,1,1,,0,,,
