Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Energy Efficiency Variable by Fuel,Fuel Fraction Variable by Fuel,``$CAT-FUEL$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,SCOE Fraction Heat Energy Demand Gasoline,frac_heat_en_gasoline,Fraction of Heat Energy demand provided by gasoline,``frac_scoe_heat_energy_$CAT-SCOE$_gasoline``,all,,0,0,1,1,0,0,1,``fuel_gasoline``,,,3
Input,SCOE Fraction Heat Energy Demand Hydrocarbon Gas Liquids,frac_heat_en_hgl,Fraction of Heat Energy demand provided by Hydrocarbon Gas Liquids.,``frac_scoe_heat_energy_$CAT-SCOE$_hydrocarbon_gas_liquids``,all,,0,0,1,1,0,0,1,``fuel_hydrocarbon_gas_liquids``,,,3
Input,SCOE Fraction Heat Energy Demand Hydrogen,frac_heat_en_hydrogen,Fraction of Heat Energy demand provided by hydrogen,``frac_scoe_heat_energy_$CAT-SCOE$_hydrogen``,all,,0,0,1,1,0,0,1,``fuel_hydrogen``,,,3
Input,SCOE Fraction Heat Energy Demand Kerosene,frac_heat_en_kerosene,Fraction of Heat Energy demand provided by kerosene,``frac_scoe_heat_energy_$CAT-SCOE$_kerosene``,all,,0,0,1,1,0,0,1,``fuel_kerosene``,,,3
Input,SCOE Fraction Heat Energy Demand Natural Gas,frac_heat_en_natural_gas,Fraction of Heat Energy demand provided by natural gas,``frac_scoe_heat_energy_$CAT-SCOE$_natural_gas``,all,,0,0,1,1,0,0,1,``fuel_natural_gas``,,,3
Input,SCOE Heat Energy Demand Scalar,demscalar_heat_energy_demand,Scalar used to modify heat energy demands--used to represent efficiency improvements in energy demands.,``scalar_scoe_heat_energy_demand_$CAT-SCOE$``,all,,0,0,1,,0,0,0,none,,,1
Input,SCOE Initial Per GDP Electric Appliances Energy Consumption,consumpinit_energy_per_mmmgdp_elecappl,,``consumpinit_scoe_$UNIT-ENERGY$_per_mmmgdp_$CAT-SCOE$_elec_appliances`` (``$UNIT-ENERGY$ = tj``),``commercial_municipal``|``other_se``,,0,1,1,,0,0,0,none,,,2
Input,SCOE Initial Per GDP Heat Energy Consumption,consumpinit_energy_per_mmmgdp_heat," | SCOE energy demands that are specified exogenously (no elasticity) for each time period. 
 | 
 | **NOTE:** Demands by fuel type are specified under the *SCOE Fraction Heat Energy Demand $CAT-FUEL$* variables for this variable. Elecitrification can be specified as fraction of heat energy from electricity. ",``consumpinit_scoe_$UNIT-ENERGY$_per_mmmgdp_$CAT-SCOE$_heat_energy`` (``$UNIT-ENERGY$ = tj``),``commercial_municipal``|``other_se``,,0,1,1,,0,0,0,none,,,2
Input,SCOE Initial Per Household Electric Appliances Energy Consumption,consumpinit_energy_per_hh_elecappl,,``consumpinit_scoe_$UNIT-ENERGY$_per_hh_$CAT-SCOE$_elec_appliances`` (``$UNIT-ENERGY$ = gj``),``residential``,,0,1,1,,0,0,0,none,,,2
Input,SCOE Initial Per Household Heat Energy Consumption,consumpinit_energy_per_hh_heat,,``consumpinit_scoe_$UNIT-ENERGY$_per_hh_$CAT-SCOE$_heat_energy`` (``$UNIT-ENERGY$ = gj``),``residential``,,0,1,1,,0,0,0,none,,,2
Output,:math:`\text{CH}_4` Emissions from SCOE,emissions_ch4,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,0,0,none,,,3
Output,:math:`\text{CO}_2` Biomass Emissions from SCOE,emissions_co2_biomass,,``emission_co2e_$EMISSION-GAS$_scoe_bmass_$CAT-SCOE$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,0,0,none,,,3
Output,:math:`\text{CO}_2` Non-Biomass Emissions from SCOE,emissions_co2_non_biomass,,``emission_co2e_$EMISSION-GAS$_scoe_nbmass_$CAT-SCOE$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,0,0,none,,,3
Output,:math:`\text{N}_2\text{O}` Emissions from SCOE,emissions_n2o,,``emission_co2e_$EMISSION-GAS$_scoe_$CAT-SCOE$`` (``$EMISSION-GAS$ = n2o``),all,,0,1,1,,1,0,0,none,,,3
Output,Electrical Energy Consumption from SCOE,energy_consumption_electricity,,``energy_consumption_electricity_scoe_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,,,2
Output,Energy Consumption from SCOE,energy_consumption_total,,``energy_consumption_scoe_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,,,2
Output,Heat Energy Demand in SCOE,energy_demand_heat_total,,``energy_demand_scoe_heat_$CAT-SCOE$``,all,,0,1,1,,0,0,0,none,,,2
Output,Total Electrical Energy Consumption from SCOE,energy_consumption_electricity_agg,,``energy_consumption_electricity_scoe_total``,none,,0,1,1,,0,0,0,none,,,2
Output,Total Energy Consumption from SCOE,energy_consumption_total_ag,,``energy_consumption_scoe_total``,none,,0,1,1,,0,0,0,none,,,2
