iso_code3,time_period,cost_enfu_fuel_biofuels_usd_per_m3,cost_enfu_fuel_biogas_usd_per_mmbtu,cost_enfu_fuel_biomass_usd_per_tonne,cost_enfu_fuel_coal_usd_per_tonne,cost_enfu_fuel_coke_usd_per_tonne,cost_enfu_fuel_crude_usd_per_m3,cost_enfu_fuel_diesel_usd_per_m3,cost_enfu_fuel_electricity_usd_per_mmbtu,cost_enfu_fuel_furnace_gas_usd_per_m3,cost_enfu_fuel_gasoline_usd_per_m3,cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu,cost_enfu_fuel_hydrogen_usd_per_mmbtu,cost_enfu_fuel_kerosene_usd_per_m3,cost_enfu_fuel_natural_gas_usd_per_mmbtu,cost_enfu_fuel_oil_usd_per_m3,cost_enfu_fuel_waste_usd_per_mmbtu
ABW,0,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,1,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,2,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,3,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,4,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,5,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,6,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,7,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,8,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,9,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,10,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,11,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,12,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,13,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,14,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,15,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,16,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,17,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,18,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,19,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,20,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,21,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,22,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,23,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,24,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
ABW,25,521.090317,22.0,209.78,104.8891667,187.7075,367.3625548236649,1840.4389266888888,60.686832961394394,13725.64626,2070.2170293586955,187.58005685378376,120.89914942397823,274.0889068,6.239751837344495,524.8036497480927,9.38
