iso_code3,year,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_hh_residential_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_heat_energy_to_gdppc
TON,2045,0.9568417732557278,0.9568417732556729,0.8333333333333334,0.8333333333333334,1.0,1.0
TON,2046,0.9654734186045822,0.9654734186045384,0.8666666666666667,0.8666666666666667,1.0,1.0
TON,2047,0.9741050639534368,0.9741050639534038,0.9,0.9,1.0,1.0
TON,2048,0.9827367093022912,0.9827367093022692,0.9333333333333333,0.9333333333333333,1.0,1.0
TON,2049,0.9913683546511456,0.9913683546511346,0.9666666666666667,0.9666666666666667,1.0,1.0
TON,2050,1.0,1.0,1.0,1.0,1.0,1.0
TTO,2010,0.0,0.0,0.0,0.0,0.0,0.0
TTO,2011,1.1720527860974557,1.1720527860974557,0.14124147162928852,0.14124147162928366,0.0,0.0
TTO,2012,1.1858897599127374,1.1858897599127434,0.1511741932505208,0.1511741932505208,0.0,0.0
TTO,2013,1.1868278922716127,1.1868278922716,0.15208060997649972,0.15208060997650502,0.0,0.0
TTO,2014,1.177672962358054,1.1776729623580604,0.1458828581195666,0.14588285811957213,0.0,0.0
TTO,2015,0.7268597559884064,0.7268597559884005,-0.38301753344684375,-0.3830175334468276,0.0,0.0
TTO,2016,0.7511469950179646,0.7511469950179824,-0.3376156947555316,-0.3376156947555475,0.0,0.0
TTO,2017,0.7754285166799971,0.7754285166799911,-0.2948218455956247,-0.2948218455956404,0.0,0.0
TTO,2018,0.7986524824151484,0.7986524824151361,-0.2567424652303879,-0.2567424652303879,0.0,0.0
TTO,2019,-4.778845126814503,-4.778845126814441,-0.8129407207673643,-0.8129407207674101,0.0,0.0
TTO,2020,0.7986524824151484,0.7986524824151361,0.0,0.0,1.0,1.0
TTO,2021,0.8034007485178328,0.803400748517821,0.03333333333333333,0.03333333333333333,1.0,1.0
TTO,2022,0.8081490146205172,0.8081490146205058,0.06666666666666667,0.06666666666666667,1.0,1.0
TTO,2023,0.8128972807232017,0.8128972807231906,0.1,0.1,1.0,1.0
TTO,2024,0.817645546825886,0.8176455468258754,0.13333333333333333,0.13333333333333333,1.0,1.0
TTO,2025,0.8223938129285704,0.8223938129285603,0.16666666666666666,0.16666666666666666,1.0,1.0
TTO,2026,0.8271420790312548,0.8271420790312451,0.2,0.2,1.0,1.0
TTO,2027,0.8318903451339392,0.83189034513393,0.23333333333333334,0.23333333333333334,1.0,1.0
TTO,2028,0.8366386112366236,0.8366386112366148,0.26666666666666666,0.26666666666666666,1.0,1.0
TTO,2029,0.8413868773393081,0.8413868773392996,0.3,0.3,1.0,1.0
TTO,2030,0.8461351434419925,0.8461351434419845,0.3333333333333333,0.3333333333333333,1.0,1.0
TTO,2031,0.8508834095446769,0.8508834095446693,0.36666666666666664,0.36666666666666664,1.0,1.0
TTO,2032,0.8556316756473612,0.8556316756473542,0.4,0.4,1.0,1.0
TTO,2033,0.8603799417500456,0.860379941750039,0.43333333333333335,0.43333333333333335,1.0,1.0
TTO,2034,0.86512820785273,0.8651282078527238,0.4666666666666667,0.4666666666666667,1.0,1.0
TTO,2035,0.8698764739554145,0.8698764739554087,0.5,0.5,1.0,1.0
TTO,2036,0.8746247400580989,0.8746247400580935,0.5333333333333333,0.5333333333333333,1.0,1.0
TTO,2037,0.8793730061607833,0.8793730061607783,0.5666666666666667,0.5666666666666667,1.0,1.0
TTO,2038,0.8841212722634677,0.8841212722634632,0.6,0.6,1.0,1.0
TTO,2039,0.888869538366152,0.888869538366148,0.6333333333333333,0.6333333333333333,1.0,1.0
TTO,2040,0.8936178044688364,0.8936178044688329,0.6666666666666666,0.6666666666666666,1.0,1.0
TTO,2041,0.8983660705715208,0.8983660705715177,0.7,0.7,1.0,1.0
TTO,2042,0.9031143366742053,0.9031143366742025,0.7333333333333333,0.7333333333333333,1.0,1.0
TTO,2043,0.9078626027768897,0.9078626027768874,0.7666666666666666,0.7666666666666666,1.0,1.0
TTO,2044,0.9126108688795741,0.9126108688795722,0.8,0.8,1.0,1.0
TTO,2045,0.9173591349822585,0.9173591349822571,0.8333333333333334,0.8333333333333334,1.0,1.0
TTO,2046,0.9221074010849428,0.9221074010849419,0.8666666666666667,0.8666666666666667,1.0,1.0
TTO,2047,0.9268556671876274,0.9268556671876267,0.9,0.9,1.0,1.0
TTO,2048,0.9316039332903117,0.9316039332903115,0.9333333333333333,0.9333333333333333,1.0,1.0
TTO,2049,0.9363521993929961,0.9363521993929964,0.9666666666666667,0.9666666666666667,1.0,1.0
TTO,2050,0.9411004654956805,0.9411004654956813,1.0,1.0,1.0,1.0
TUN,2010,0.0,0.0,0.0,0.0,0.0,0.0
TUN,2011,1.2262981366151384,1.2262981366151384,0.17655731957136608,0.17655731957136608,0.0,0.0
TUN,2012,1.240501774857203,1.240501774857203,0.1860033378799761,0.1860033378799719,0.0,0.0
TUN,2013,1.265317190025412,1.265317190025412,0.20172755080328483,0.20172755080328483,0.0,0.0
TUN,2014,1.299016027748775,1.299016027748769,0.22206412408905973,0.22206412408905507,0.0,0.0
TUN,2015,-4.879901845673798,-4.879901845673798,1.207196638903661,1.2071966389037094,0.0,0.0
TUN,2016,-3.9139785839696417,-3.9139785839696417,1.2584206097663662,1.2584206097663173,0.0,0.0
TUN,2017,-3.6453280477068684,-3.645328047706958,1.2774921986415284,1.277492198641504,0.0,0.0
TUN,2018,-4.003076214996974,-4.003076214996875,1.2525993949836947,1.2525993949836947,0.0,0.0
TUN,2019,-49.47756591897003,-49.477565918970285,1.7770099368862393,1.7770099368863645,0.0,0.0
TUN,2020,0.0,0.0,0.22206412408905973,0.22206412408905507,1.0,1.0
TUN,2021,0.03333333333333333,0.03333333333333333,0.23611231507655492,0.23611231507655037,1.0,1.0
