qty_soil_organic_c_stock_dry_climate_tonne_per_ha,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_poor_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_rich_tonne_per_ha,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_tropical_forest_tonne_per_ha,qty_soil_organic_c_stock_wet_climate_tonne_per_ha,iso_alpha_3,year,time_period
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2010,-5
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2011,-4
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2012,-3
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2013,-2
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2014,-1
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2015,0
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2016,1
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2017,2
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2018,3
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2019,4
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2020,5
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2021,6
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2022,7
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2023,8
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2024,9
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2025,10
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2026,11
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2027,12
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2028,13
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2029,14
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2030,15
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2031,16
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2032,17
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2033,18
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2034,19
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2035,20
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2036,21
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2037,22
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2038,23
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2039,24
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2040,25
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2041,26
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2042,27
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2043,28
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2044,29
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2045,30
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2046,31
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2047,32
35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,35.520325203252035,ABW,2048,33
