Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-WASTEWATER-TREATMENT$``,Notes
Input,(Optional) Elasticity of Protein in Diet to GDP per Capita,"Used if run indepedently from the AFOLU model. In the integrated modeling framework, growth in demand per capita for livestock is used to estimate growth in protein contained in diets. However, the model may be run in isolation. In this case, users can use an elasticity in combination with the fraction of the population that does not eat red meat.",``elasticity_protein_in_diet_to_gdppc``,none,,0,0.8,1.2,,0,,
Input,Average Protein Consumption Per Capita,Daily protein consumption per person in kg,``qty_protein_per_capita_$UNIT-MASS$`` (``$UNIT-MASS$ = kg``),none,,0,1.0,1.0,,0,,"Estimated starting with point estimate of 65.7 grams per person per day in 1984 (see `Sepulveda (1984) <https://pubmed.ncbi.nlm.nih.gov/12266337/>`_). Then `Andreoli et al. (2021) <https://www.mdpi.com/2071-1050/13/13/7399/htm>`_ was used to estimate that protein consumption in latin america from animal protein was approximately 27.5 grams per person per day in 1984, which then grew to 37.5 by 2017 (an increase of 10 grams per day). This gives the baseline of 0.0777 kg per person per day. Consumption of vegetable protein in a standard diet is assumed to be constant."
Input,BOD Correction Factor for TOW,Correction factor for average annual BOD per capita that represents sewage from commercial and industrial operations. ,``physparam_wali_tow_dom_generation_correction_factor``,none,,0,0.8,1.2,,0,,"See *I* in Equation 6.3 (IPCC GNGHGI V5,C6)"
Input,BOD per Capita,Annual biochemical oxygen demand (BOD) per person in kg. Table 6.4 in IPCC Guidelines for NGHG Inventories shows regional factors.,``physparam_wali_daily_$UNIT-MASS$_bod_per_capita`` (``$UNIT-MASS$ = kg``),none,,0,0.78,1.22,,0,,
Input,COD per GDP,"Average annual chemical oxygen demand (COD) in industrial water per GDP at time :math:`t = 0`. Mean and range derived from Volume 5, Table 6.9 in IPCC Guidelines for NGHG Inventories.",``physparam_wali_$UNIT-MASS$_cod_per_mmm_gdp`` (``$UNIT-MASS$ = tonne``),none,,0,0.37,2.17,,0,,
Input,Factor for Nitrogen in Non-Consumed Protein Disposed in Sewer System,":math:`F_{NON-CON}` in Equation 6.10 in V5, C6 IPCC GNGHGI (2019R). Default values by region are available in Table 6.10A.",``param_wali_f_noncon``,none,,0,1.0,1.0,,0,,"See V5, C6, Table 6.10A IPCC GNGHGI"
Input,Fraction of Protein in Diet with Red Meat,,``frac_wali_protein_in_diet_with_red_meat``,none,,0,1.0,1.0,,0,,Used to estimate protein content in domestic wastewater. Protein (see IPCC GHG Guidance) . See Table 1 in `Papier et al. (2019) <https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6521004/#app1-nutrients-11-00824>`_ for the source of these numbers.
Input,Fraction of Protein in Diet without Red Meat,,``frac_wali_protein_in_diet_without_red_meat``,none,,0,1.0,1.0,,0,,
Input,Initial Per Capita Annual Domestic Wastewater Generated,"Represents the estimated volume, in :math:`\text{m}^3`/year, that each person produces in domestic wastewater. This production This value is modified by the log elasticity of production to gdp/capita. Increasing GDP/Capita is associated with increasing per capita liquid waste generation; see `Jones, Vliet, Qadir, and Bierkens (2021) <https://doi.org/10.5194/essd-13-237-2021>`_.",``qty_wali_$UNIT-VOLUME$_$CAT-WASTE-LIQUID$_per_capita`` (``$UNIT-VOLUME$ = m3``),``ww_domestic_rural``|``ww_domestic_urban``,,0,1.0,1.0,,0,,"Default global average of 49 m3/person/year from `Jones, Vliet, Qadir, and Bierkens <https://doi.org/10.5194/essd-13-237-2021>`_."
Input,Initial Per GDP Annual Industrial Wastewater Generated,"Represents the estimated quantity, in m3/year, produced per billion $ GDP. ",``qty_wali_$UNIT-VOLUME$_$CAT-WASTE-LIQUID$_per_gdp`` (``$UNIT-VOLUME$ = m3``),``ww_industrial``,,0,1.0,1.0,,0,,
