Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,Notes
Input,Fraction of Food Loss Sent to Municipal Solid Waste,Use this variable to represent  food lost in the supply chain that is sent to municipal solid waste streams. Includes *pre-consumer*--such as waste by distributors and retailers--waste (integrated with waste model). ,``frac_agrc_production_lost_sent_to_msw``,none,,0,1,1,,0,none,
Input,Fraction of Food Produced Lost Before Consumption,Fraction of food that is produced that is lost or wasted before selling. This fraction represents production-side waste (post-yield) and does not include waste by consumers.,``frac_agrc_agriculture_production_lost``,none,,0,1,1,,0,none,
Input,Fraction of Residues Burned," | Fraction of residues burned. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1.",``frac_agrc_crop_residues_burned``,none,,0,1,1,,0,none,
Input,Fraction of Residues Removed," | Fraction of residues removed. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1.",``frac_agrc_crop_residues_removed``,none,,0,1,1,,0,none,
Input,Initial Cropland Area Proportion,"Proportion of total **crop** area (%/100), where crop area is calculated as the product of the country's area (``area_country_ha``) and the fraction of land use that is devoted to crop land (``frac_lu_cropland``)",``frac_agrc_initial_area_cropland_$CAT-AGRICULTURE$``,all,,0,1,1,3,0,none,
Input,N Content of Above Ground Residues,See :math:`N_{AG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_above_ground_residue_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,
Input,N Content of Below Ground Residues,See :math:`N_{BG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_below_ground_residue_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,
Input,No Till Crop Fraction,Fraction of crop area that is subject to no-till,``frac_agrc_no_till_$CAT-AGRICULTURE$``,``cereals``|``fibers``|``other_annual``|``pulses``|``tubers``|``vegetables_and_vines``,,0,1,1,,0,none,
Input,Ratio of Above Ground Residue to Harvested Yield,,``ratio_agrc_above_ground_residue_to_yield_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,
Input,Ratio of Below Ground Biomass to Above Ground Biomass,,``ratio_agrc_below_ground_to_above_ground_biomass_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,
Output,:math:`\text{CH}_4` Emissions from Biomass Burning,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_burning`` (``$EMISSION-GAS$ = ch4``),none,,0,1,1,,1,none,
Output,:math:`\text{CH}_4` Emissions from Rice,Captures :math:`\text{CH}_4` emissions from rice paddies,``emission_co2e_$EMISSION-GAS$_agrc_anaerobicdom_$CAT-AGRICULTURE$`` (``$EMISSION-GAS$ = ch4``),``rice``,,0,1,1,,1,none,
